"PC-1"	"PC-2"	"Batch"	"Group"
"GSM1045191"	-154.070040073329	100.402195677117	"GSE42568"	"Normal"
"GSM1045193"	-71.1858572705315	-24.3259270416662	"GSE42568"	"Normal"
"GSM1045195"	-153.095506822422	119.941767742144	"GSE42568"	"Normal"
"GSM1045196"	-163.894607572468	140.699753105216	"GSE42568"	"Normal"
"GSM1045197"	-157.633802265593	128.732822157247	"GSE42568"	"Normal"
"GSM1045199"	-160.412385495158	139.010042277692	"GSE42568"	"Normal"
"GSM1045200"	-157.344454442458	75.0129005288679	"GSE42568"	"Normal"
"GSM1045201"	-142.881590095198	71.0431281446981	"GSE42568"	"Normal"
"GSM1045204"	-156.170087320714	137.80530728419	"GSE42568"	"Normal"
"GSM1045205"	-158.972012232339	132.818166198962	"GSE42568"	"Normal"
"GSM1045206"	-136.734737920251	121.447265604592	"GSE42568"	"Normal"
"GSM1045207"	-152.407831311174	138.315798594846	"GSE42568"	"Normal"
"GSM1045208"	-146.122989539677	-30.6327634137136	"GSE42568"	"Tumor"
"GSM1045210"	-136.78014071231	-33.0288614545103	"GSE42568"	"Tumor"
"GSM1045211"	-106.048257952384	-32.3256747612525	"GSE42568"	"Tumor"
"GSM1045212"	-172.18259559794	-13.3819376197297	"GSE42568"	"Tumor"
"GSM1045214"	-139.015553914398	-5.04627737275914	"GSE42568"	"Tumor"
"GSM1045215"	-168.252524738618	-1.15493568563237	"GSE42568"	"Tumor"
"GSM1045216"	-173.812494888951	-1.69098940632379	"GSE42568"	"Tumor"
"GSM1045217"	-66.910263846011	-55.1376708098068	"GSE42568"	"Tumor"
"GSM1045218"	-165.198369234663	-18.265174954536	"GSE42568"	"Tumor"
"GSM1045219"	-160.756817828211	-15.8135297194079	"GSE42568"	"Tumor"
"GSM1045220"	-162.867435942084	-16.4092281400571	"GSE42568"	"Tumor"
"GSM1045221"	-110.626173069868	-37.0049977605105	"GSE42568"	"Tumor"
"GSM1045222"	-142.452008486051	-20.8906163432328	"GSE42568"	"Tumor"
"GSM1045224"	-150.763102762156	-29.8315840277447	"GSE42568"	"Tumor"
"GSM1045225"	-132.258792106115	-27.6798212523532	"GSE42568"	"Tumor"
"GSM1045230"	-175.607550938067	-10.6513624435054	"GSE42568"	"Tumor"
"GSM1045231"	-171.734414186998	-31.4192605909406	"GSE42568"	"Tumor"
"GSM1045232"	-146.497608331817	-29.3730662699692	"GSE42568"	"Tumor"
"GSM1045233"	-141.993823716373	-21.9662196306984	"GSE42568"	"Tumor"
"GSM1045234"	-168.181687211285	-14.0177024846856	"GSE42568"	"Tumor"
"GSM1045236"	-162.27768463766	9.83989121694602	"GSE42568"	"Tumor"
"GSM1045237"	-157.714769588887	-15.2893593886747	"GSE42568"	"Tumor"
"GSM1045238"	-155.20134088865	-20.9619330511262	"GSE42568"	"Tumor"
"GSM1045239"	-166.51528225569	5.77955574062096	"GSE42568"	"Tumor"
"GSM1045240"	-131.462022565292	-2.40395412709244	"GSE42568"	"Tumor"
"GSM1045241"	-142.945619945105	-18.8168842516407	"GSE42568"	"Tumor"
"GSM1045242"	-137.72949083885	-35.507242111623	"GSE42568"	"Tumor"
"GSM1045243"	-105.697052661764	-18.959942662431	"GSE42568"	"Tumor"
"GSM1045244"	-126.86775064159	-42.1494300762622	"GSE42568"	"Tumor"
"GSM1045245"	-147.479018357351	-10.2771589180959	"GSE42568"	"Tumor"
"GSM1045247"	-157.001601860377	-18.1166028254333	"GSE42568"	"Tumor"
"GSM1045250"	-133.889336103191	-45.3617528934582	"GSE42568"	"Tumor"
"GSM1045251"	-152.127293205156	-2.25612007925815	"GSE42568"	"Tumor"
"GSM1045252"	-160.5647590945	53.8091670059292	"GSE42568"	"Tumor"
"GSM1045253"	-167.76886851018	-27.8503774293575	"GSE42568"	"Tumor"
"GSM1045255"	-108.681026270591	-28.1538653242654	"GSE42568"	"Tumor"
"GSM1045256"	-140.26076397004	-3.93717975388209	"GSE42568"	"Tumor"
"GSM1045257"	-147.893607801048	-39.6385910273837	"GSE42568"	"Tumor"
"GSM1045258"	-165.454373564037	-5.09439716313907	"GSE42568"	"Tumor"
"GSM1045259"	-130.455142379574	-25.9401241569873	"GSE42568"	"Tumor"
"GSM1045260"	-162.162283212421	-19.549009170057	"GSE42568"	"Tumor"
"GSM1045261"	-169.265760963625	-10.5752031604509	"GSE42568"	"Tumor"
"GSM1045262"	-167.052993105647	-18.7662005073381	"GSE42568"	"Tumor"
"GSM1045263"	-147.460584755567	-39.9169854473574	"GSE42568"	"Tumor"
"GSM1045264"	-157.025936740248	-24.4047003148381	"GSE42568"	"Tumor"
"GSM1045266"	-142.283678632506	0.453159515446984	"GSE42568"	"Tumor"
"GSM1045267"	-142.293492837182	-5.93353608547256	"GSE42568"	"Tumor"
"GSM1045268"	-171.226844839312	-10.8759560407457	"GSE42568"	"Tumor"
"GSM1045270"	-180.921122112284	-11.6088426135382	"GSE42568"	"Tumor"
"GSM1045271"	-171.44838785399	-22.8642873585512	"GSE42568"	"Tumor"
"GSM1045273"	-167.880747215149	-19.1182447917756	"GSE42568"	"Tumor"
"GSM1045275"	-162.714139299077	-24.427774141173	"GSE42568"	"Tumor"
"GSM1045276"	-129.384992753277	-25.2701904415004	"GSE42568"	"Tumor"
"GSM1045277"	-166.680715643728	-26.1979819877709	"GSE42568"	"Tumor"
"GSM1045278"	-139.210948425465	8.10288824846055	"GSE42568"	"Tumor"
"GSM1045280"	-143.692199470205	17.8642337810533	"GSE42568"	"Tumor"
"GSM1045281"	-155.70290449915	-32.7389302003886	"GSE42568"	"Tumor"
"GSM1045284"	-150.943647468378	-34.6497126374718	"GSE42568"	"Tumor"
"GSM1045285"	-122.422768989377	-12.9602159867474	"GSE42568"	"Tumor"
"GSM1045288"	-57.9208453600143	-30.9539010939225	"GSE42568"	"Tumor"
"GSM1045290"	-151.512179082879	7.33339867748188	"GSE42568"	"Tumor"
"GSM1045292"	-154.775143145793	-19.1444103358855	"GSE42568"	"Tumor"
"GSM1045293"	-128.196101353449	-23.1812766974916	"GSE42568"	"Tumor"
"GSM1045294"	-141.357124760406	-12.1521792426866	"GSE42568"	"Tumor"
"GSM1045299"	-141.787254488056	-37.5264672686758	"GSE42568"	"Tumor"
"GSM1045301"	-88.7685572391627	-18.1037245176227	"GSE42568"	"Tumor"
"GSM1045302"	-57.2402097281571	-48.6281165853277	"GSE42568"	"Tumor"
"GSM1045304"	-161.471118536868	-17.5318005333787	"GSE42568"	"Tumor"
"GSM1045305"	-146.011002689088	-39.7933534897209	"GSE42568"	"Tumor"
"GSM1045307"	-159.96373469709	0.819522393602539	"GSE42568"	"Tumor"
"GSM1045308"	-153.938327154143	-20.1205260096903	"GSE42568"	"Tumor"
"GSM1045309"	-133.204962832098	-25.1442749794969	"GSE42568"	"Tumor"
"GSM1045311"	-160.694973537175	-7.58661828513099	"GSE42568"	"Tumor"
"GSM1501818"	278.834780710345	-1.55361739388916	"GSE61304"	"Tumor"
"GSM1501819"	280.263038727309	2.85782396079807	"GSE61304"	"Tumor"
"GSM1501820"	283.797927205299	6.57807064622541	"GSE61304"	"Normal"
"GSM1501821"	282.387363216964	-3.14527026472217	"GSE61304"	"Tumor"
"GSM1501822"	278.048726256475	-3.92277119560001	"GSE61304"	"Tumor"
"GSM1501823"	282.529713772592	4.27365074557395	"GSE61304"	"Tumor"
"GSM1501824"	283.574553606917	-4.3062181110985	"GSE61304"	"Tumor"
"GSM1501825"	282.731096948091	-1.98967689311364	"GSE61304"	"Tumor"
"GSM1501826"	286.736976316	1.77866639288934	"GSE61304"	"Tumor"
"GSM1501830"	284.566611582334	2.89180762565254	"GSE61304"	"Tumor"
"GSM1501831"	278.318988216551	-0.622514577115426	"GSE61304"	"Tumor"
"GSM1501832"	283.154980727073	9.29348818808195	"GSE61304"	"Tumor"
"GSM1501833"	280.152603365044	0.99106278834184	"GSE61304"	"Tumor"
"GSM1501835"	282.929427230974	-0.52784057725492	"GSE61304"	"Tumor"
"GSM1501837"	281.501133759062	0.647816857808056	"GSE61304"	"Tumor"
"GSM1501838"	280.234027859699	1.93169081592579	"GSE61304"	"Tumor"
"GSM1501839"	282.829385024336	2.16988503594922	"GSE61304"	"Tumor"
"GSM1501841"	283.531865206878	0.0847251852229964	"GSE61304"	"Tumor"
"GSM1501845"	280.888221658061	5.01857770944351	"GSE61304"	"Tumor"
"GSM1501846"	278.934307493402	-3.53845330863754	"GSE61304"	"Tumor"
"GSM1501847"	280.116689716244	0.531424335161033	"GSE61304"	"Tumor"
"GSM1501848"	283.643855151889	-1.73265628929133	"GSE61304"	"Tumor"
"GSM1501849"	282.625290429734	9.4151955183625	"GSE61304"	"Normal"
"GSM1501850"	280.716629823896	-1.99271220410792	"GSE61304"	"Tumor"
"GSM1501851"	284.9542823235	1.42496188836523	"GSE61304"	"Tumor"
"GSM1501852"	278.090215648097	-2.11155006667784	"GSE61304"	"Tumor"
"GSM1501853"	282.160939245122	1.36257609881146	"GSE61304"	"Tumor"
"GSM1501855"	279.505919351917	4.17037165372634	"GSE61304"	"Tumor"
"GSM1501857"	282.91728200721	-0.939237357468846	"GSE61304"	"Tumor"
"GSM1501859"	283.208527529989	0.602818867623038	"GSE61304"	"Tumor"
