"","node1","node2","score"
"1","ACTL6A","CCNB1",0.443
"2","ACTL6A","CDK4",0.696
"3","ACTL6A","CHTF18",0.58
"4","ACTL6A","ARID3A",0.427
"5","ACTL6A","SNRPF",0.511
"6","ACTL6A","MAD2L1",0.414
"7","ACTL6A","CCT2",0.519
"8","ACTL6A","MCM7",0.445
"9","ACTL6A","CENPA",0.431
"10","ACTL6A","RFC4",0.514
"11","ACTL6A","TOP2A",0.576
"12","ACTL6A","MYC",0.891
"13","AHCY","MYC",0.419
"14","AHCY","HSPD1",0.424
"15","AHCY","RPS15",0.43
"16","AHCY","GPT2",0.471
"17","AHCY","CCT2",0.473
"18","AHCY","IMPDH1",0.474
"19","AHCY","PAICS",0.493
"20","AHCY","MTHFD1L",0.505
"21","AHCY","RPLP0",0.508
"22","AHCY","PSAT1",0.508
"23","AHCY","MTHFD2",0.51
"24","AHCY","TYMS",0.551
"25","AHCY","GART",0.558
"26","AHCY","IMPDH2",0.674
"27","AHCY","SHMT2",0.857
"28","AHCY","DNMT1",0.952
"29","ANKRD22","ASB9",0.458
"30","ANLN","TRIP13",0.748
"31","ANLN","AURKA",0.741
"32","ANLN","FBL",0.432
"33","ANLN","RAD51AP1",0.493
"34","ANLN","CCNB1",0.86
"35","ANLN","KIF11",0.947
"36","ANLN","MCM4",0.841
"37","ANLN","MCM2",0.678
"38","ANLN","PRKDC",0.426
"39","ANLN","CDC25A",0.43
"40","ANLN","LRP8",0.436
"41","ANLN","PCLAF",0.446
"42","ANLN","CDCA7",0.454
"43","ANLN","TACC3",0.46
"44","ANLN","DTL",0.469
"45","ANLN","TK1",0.472
"46","ANLN","CKS1B",0.474
"47","ANLN","LMNB2",0.504
"48","ANLN","CDT1",0.527
"49","ANLN","RTKN",0.538
"50","ANLN","UHRF1",0.541
"51","ANLN","ATAD2",0.548
"52","ANLN","RFC4",0.558
"53","ANLN","PTTG1",0.579
"54","ANLN","CKS2",0.63
"55","ANLN","CCNB2",0.633
"56","ANLN","CHEK1",0.633
"57","ANLN","CDKN3",0.641
"58","ANLN","KIF15",0.645
"59","ANLN","CENPA",0.647
"60","ANLN","CDCA3",0.649
"61","ANLN","UBE2T",0.653
"62","ANLN","CDCA5",0.672
"63","ANLN","MAD2L1",0.682
"64","ANLN","MCM7",0.693
"65","ANLN","CDC20",0.701
"66","ANLN","TTK",0.704
"67","ANLN","NUSAP1",0.712
"68","ANLN","TYMS",0.729
"69","ANLN","CCNA2",0.747
"70","ANLN","EXO1",0.754
"71","ANLN","UBE2C",0.773
"72","ANLN","KIF4A",0.782
"73","ANLN","CDCA8",0.789
"74","ANLN","IQGAP3",0.795
"75","ANLN","BUB1B",0.8
"76","ANLN","PBK",0.811
"77","ANLN","KIF2C",0.821
"78","ANLN","MELK",0.831
"79","ANLN","PRC1",0.839
"80","ANLN","CENPF",0.842
"81","ANLN","AURKB",0.846
"82","ANLN","TOP2A",0.861
"83","ANLN","HMMR",0.88
"84","ANLN","ASPM",0.9
"85","ANLN","BUB1",0.917
"86","ANLN","TPX2",0.923
"87","ANLN","CEP55",0.93
"88","ANLN","KIF20A",0.949
"89","ANXA3","S100A11",0.605
"90","ARID3A","TEAD4",0.56
"91","ASB9","CKMT2",0.708
"92","ASCL2","OLFM4",0.775
"93","ASCL2","SOX9",0.524
"94","ASCL2","AXIN2",0.631
"95","ASCL2","EPHB3",0.537
"96","ASCL2","RNF43",0.431
"97","ASCL2","MYC",0.434
"98","ASF1B","TRIP13",0.531
"99","ASF1B","AURKA",0.751
"100","ASF1B","RNASEH2A",0.595
"101","ASF1B","RAD51AP1",0.544
"102","ASF1B","CCNB1",0.59
"103","ASF1B","TROAP",0.478
"104","ASF1B","KIF11",0.675
"105","ASF1B","MCM4",0.918
"106","ASF1B","CHTF18",0.415
"107","ASF1B","TYMS",0.418
"108","ASF1B","RFC4",0.422
"109","ASF1B","PRC1",0.448
"110","ASF1B","KIF15",0.449
"111","ASF1B","IQGAP3",0.458
"112","ASF1B","ATAD2",0.477
"113","ASF1B","UBE2T",0.492
"114","ASF1B","DTL",0.495
"115","ASF1B","CDCA7",0.505
"116","ASF1B","MAD2L1",0.511
"117","ASF1B","TTK",0.53
"118","ASF1B","HMMR",0.531
"119","ASF1B","UHRF1",0.549
"120","ASF1B","TACC3",0.552
"121","ASF1B","CHEK1",0.566
"122","ASF1B","MELK",0.574
"123","ASF1B","CCNB2",0.587
"124","ASF1B","TPX2",0.596
"125","ASF1B","ASPM",0.603
"126","ASF1B","CDCA5",0.603
"127","ASF1B","KIF4A",0.616
"128","ASF1B","BUB1",0.62
"129","ASF1B","CEP55",0.628
"130","ASF1B","PTTG1",0.636
"131","ASF1B","CDT1",0.647
"132","ASF1B","TK1",0.648
"133","ASF1B","BUB1B",0.7
"134","ASF1B","AURKB",0.702
"135","ASF1B","TOP2A",0.709
"136","ASF1B","KIF2C",0.71
"137","ASF1B","EXO1",0.717
"138","ASF1B","CENPF",0.726
"139","ASF1B","UBE2C",0.729
"140","ASF1B","NUSAP1",0.739
"141","ASF1B","PBK",0.743
"142","ASF1B","PCLAF",0.772
"143","ASF1B","CCNA2",0.783
"144","ASF1B","CDC20",0.806
"145","ASF1B","CDCA3",0.809
"146","ASF1B","CDCA8",0.829
"147","ASF1B","CENPA",0.831
"148","ASF1B","MCM3",0.832
"149","ASF1B","KIF20A",0.84
"150","ASF1B","MCM7",0.9
"151","ASF1B","MCM2",0.996
"152","ASNS","HSPE1",0.405
"153","ASNS","ODC1",0.411
"154","ASNS","GDF15",0.411
"155","ASNS","SLC7A5",0.848
"156","ASNS","PPAT",0.642
"157","ASNS","FASN",0.512
"158","ASNS","DDIT4",0.559
"159","ASNS","TYMS",0.407
"160","ASNS","IMPDH2",0.638
"161","ASNS","SHMT2",0.778
"162","ASNS","GPT2",0.61
"163","ASNS","PSAT1",0.864
"164","ASNS","GART",0.413
"165","ASNS","MTHFD2",0.717
"166","ASNS","PAICS",0.411
"167","ASNS","MYC",0.423
"168","ASNS","MTHFD1L",0.521
"169","ASNS","SLC2A1",0.528
"170","ASNS","TRIB3",0.902
"171","ASPM","TRIP13",0.729
"172","ASPM","AURKA",0.93
"173","ASPM","RAD51AP1",0.673
"174","ASPM","CCNB1",0.952
"175","ASPM","CDK4",0.459
"176","ASPM","TROAP",0.764
"177","ASPM","KIF11",0.989
"178","ASPM","MCM4",0.678
"179","ASPM","POLQ",0.533
"180","ASPM","MCM2",0.54
"181","ASPM","CDCA5",0.746
"182","ASPM","ATAD2",0.581
"183","ASPM","BUB1B",0.974
"184","ASPM","CCNB2",0.951
"185","ASPM","MAD2L1",0.812
"186","ASPM","MELK",0.946
"187","ASPM","PCLAF",0.909
"188","ASPM","TPX2",0.949
"189","ASPM","CDT1",0.578
"190","ASPM","BUB1",0.976
"191","ASPM","CDC25A",0.456
"192","ASPM","CDCA7",0.477
"193","ASPM","MCM7",0.509
