"pathway"	"Normal"	"Tumor"
"M1"	3.42713884948423	-3.43303852525973
"M10"	-2.59126185253924	2.51997045807302
"M11"	-1.91858688615124	1.86580228069567
"M12"	-2.13318302515714	2.08918628156435
"M2"	-2.77157750228598	2.76372272295544
"M3"	-3.4761865684523	3.3685021742518
"M4"	-1.80096677735581	1.79471402674114
"M5"	-3.91906287564563	3.89217967925573
"M6"	-1.54949626463979	1.51958587865574
"M7"	1.08289242735673	-1.09065367089479
"M8"	-2.43268137121788	2.36010564661931
"M9"	1.87075636091361	-1.8880119582344
