"pathway"	"Normal"	"Tumor"
"M1"	2.5900828039592e-177	4.53054024454712e-174
"M10"	8.58581261555548e-07	5.50234461801506e-07
"M11"	0.000955239603761655	0.000888637358031763
"M12"	0.000182256533477385	0.00022043844899054
"M2"	1.69323935274273e-22	1.6030952517663e-22
"M3"	1.54696758960157e-32	5.47159891218631e-33
"M4"	4.06894795543337e-06	1.63920371623901e-06
"M5"	4.09274572312339e-44	3.01252345335402e-44
"M6"	0.00252673448261032	0.00117112433278029
"M7"	0.337616822429907	0.343091334894614
"M8"	1.75409152087226e-06	1.63920371623901e-06
"M9"	0.000613533409565133	0.000239594560825502
