"Module"	"Gene1"	"Gene2"
"M1"	"BRD3"	"LBP"
"M1"	"ANAPC4"	"DMD"
"M1"	"ANAPC4"	"F3"
"M1"	"MS4A3"	"ST6GALNAC1"
"M1"	"DYNLRB1"	"PLA2G4A"
"M1"	"RAPH1"	"F5"
"M1"	"RAPH1"	"SORD"
"M1"	"RAPH1"	"PPP1R8"
"M1"	"RAPH1"	"SNRPB2"
"M1"	"RAPH1"	"TRIM63"
"M1"	"RAPH1"	"TIAM1"
"M1"	"RAPH1"	"CES1"
"M1"	"RAPH1"	"TAF1A"
"M1"	"RAPH1"	"ATP8B1"
"M1"	"RAPH1"	"POLR3D"
"M1"	"RAPH1"	"TUBB8"
"M1"	"RAPH1"	"COG8"
"M1"	"DMD"	"POLI"
"M1"	"DMD"	"CEND1"
"M1"	"DMD"	"POLK"
"M1"	"DMD"	"PSEN2"
"M1"	"DMD"	"BEST2"
"M1"	"FHL1"	"SORL1"
"M1"	"FHL1"	"ANGPT1"
"M1"	"FHL1"	"KPNA3"
"M1"	"FHL1"	"BCAR3"
"M1"	"FHL1"	"DLC1"
"M1"	"FHL1"	"TTLL5"
"M1"	"FHL1"	"TEP1"
"M1"	"FHL1"	"TOR1AIP2"
"M1"	"FHL1"	"NRARP"
"M1"	"FHL1"	"TAPBP"
"M1"	"FHL1"	"PPL"
"M1"	"FHL1"	"ULBP2"
"M1"	"FHL1"	"LRPAP1"
"M1"	"FHL1"	"TXNL1"
"M1"	"FHL1"	"TUBA1C"
"M1"	"FHL1"	"DUSP10"
"M1"	"FHL1"	"MYO16"
"M1"	"FHL1"	"ANKRD27"
"M1"	"FHL1"	"FAIM2"
"M1"	"FHL1"	"MST1R"
"M1"	"FHL1"	"UBE2L6"
"M1"	"FHL1"	"CCR4"
"M1"	"FHL1"	"MED26"
"M1"	"FHL1"	"AHRR"
"M1"	"FHL1"	"REG1A"
"M1"	"FHL1"	"CYP11A1"
"M1"	"FHL1"	"CBLL1"
"M1"	"FHL1"	"PRKAB2"
"M1"	"FHL1"	"KLHDC9"
"M1"	"FHL1"	"APBB1IP"
"M1"	"FHL1"	"CSRP3"
"M1"	"FHL1"	"CTBS"
"M1"	"FHL1"	"MPZL1"
"M1"	"FHL1"	"IL1RAP"
"M1"	"FHL1"	"RAB5B"
"M1"	"FHL1"	"PTP4A1"
"M1"	"FHL1"	"RINT1"
"M1"	"FHL1"	"SOX6"
"M1"	"FHL1"	"CCDC42"
"M1"	"FHL1"	"SCN1A"
"M1"	"FHL1"	"PALLD"
"M1"	"FHL1"	"RFXAP"
"M1"	"FHL1"	"RMND5A"
"M1"	"FHL1"	"CLSPN"
"M1"	"FHL1"	"EPS15"
"M1"	"FHL1"	"CNTFR"
"M1"	"FHL1"	"MAPRE3"
"M1"	"FHL1"	"GZMM"
"M1"	"FHL1"	"GMFB"
"M1"	"FHL1"	"ZMYM6"
"M1"	"FHL1"	"PAIP2"
"M1"	"GBP3"	"ORMDL3"
"M1"	"AIG1"	"CES1"
"M1"	"AIG1"	"PAK4"
"M1"	"AIG1"	"EPN1"
"M1"	"AIG1"	"HPRT1"
"M1"	"AIG1"	"CRY1"
"M1"	"AIG1"	"FAIM2"
"M1"	"AIG1"	"TMED1"
"M1"	"AIG1"	"MPPED1"
"M1"	"AIG1"	"FOLR3"
"M1"	"AIG1"	"PTP4A1"
"M1"	"AIG1"	"PALLD"
"M1"	"AIG1"	"MFI2"
"M1"	"FKBP1B"	"CBX1"
"M1"	"FKBP1B"	"ANKRD27"
"M1"	"FKBP1B"	"MYO5A"
"M1"	"FKBP1B"	"FGF8"
"M1"	"FKBP1B"	"SARNP"
"M1"	"FKBP1B"	"MPPED1"
"M1"	"FKBP1B"	"IL1RAP"
"M1"	"FKBP1B"	"PTP4A1"
"M1"	"FKBP1B"	"MRPL35"
"M1"	"FGD6"	"EME1"
"M1"	"FGD6"	"PPAP2B"
"M1"	"ANK3"	"PTPN5"
"M1"	"ANK3"	"HSPA2"
"M1"	"ANK3"	"SBK1"
"M1"	"ANK3"	"SNRPC"
"M1"	"ANK3"	"MKLN1"
"M1"	"ANK3"	"S100A13"
"M1"	"ANK3"	"STAB1"
"M1"	"ANK3"	"PEX12"
"M1"	"ANK3"	"EIF4ENIF1"
"M1"	"ANK3"	"AMIGO3"
"M1"	"ANK3"	"DNAJA3"
"M1"	"ANK3"	"RAPGEF6"
"M1"	"ANK3"	"ZFP91"
"M1"	"ANK3"	"AZI2"
"M1"	"ANK3"	"XK"
"M1"	"ANK3"	"DMPK"
"M1"	"ANK3"	"SKI"
"M1"	"ANK3"	"MED25"
"M1"	"ANK3"	"HPRT1"
"M1"	"ANK3"	"KDM5A"
"M1"	"ANK3"	"C1orf94"
"M1"	"ANK3"	"TLE4"
"M1"	"ANK3"	"KLHDC9"
"M1"	"ANK3"	"PRF1"
"M1"	"ANK3"	"VPS28"
"M1"	"ANK3"	"APBB1IP"
"M1"	"ANK3"	"MPPED1"
"M1"	"ANK3"	"PTP4A1"
"M1"	"ANK3"	"PDX1"
"M1"	"ANK3"	"MIIP"
"M1"	"ANK3"	"RLBP1"
"M1"	"ANK3"	"GPR142"
"M1"	"ENAH"	"SUCLA2"
"M1"	"ENAH"	"MCAM"
"M1"	"ENAH"	"KLF13"
"M1"	"UGP2"	"PTP4A1"
"M1"	"UGP2"	"CD1A"
"M1"	"UGP2"	"CREBL2"
"M1"	"GIGYF2"	"SUCLA2"
"M1"	"GIGYF2"	"GPC3"
"M1"	"CORO1C"	"ANKRD35"
"M1"	"CCL8"	"MSRB1"
"M1"	"CCL8"	"TIGIT"
"M1"	"CCL8"	"FGF8"
"M1"	"CCL8"	"SARNP"
"M1"	"CCL8"	"TMED1"
"M1"	"CCL8"	"EEF1B2"
"M1"	"CCL8"	"BHLHB9"
"M1"	"CCL8"	"SCGB3A2"
"M1"	"CCL8"	"IFNGR2"
"M1"	"CCL8"	"CBLL1"
"M1"	"CCL8"	"PRKAB2"
"M1"	"CCL8"	"NVL"
"M1"	"CCL8"	"KLHDC9"
"M1"	"CCL8"	"PRF1"
"M1"	"CCL8"	"VPS28"
"M1"	"CCL8"	"C19orf25"
"M1"	"CCL8"	"CSRP3"
"M1"	"CCL8"	"CTBS"
"M1"	"CCL8"	"IL1RAP"
"M1"	"CCL8"	"PABPC3"
"M1"	"CCL8"	"CHCHD4"
"M1"	"CCL8"	"RAB5B"
"M1"	"CCL8"	"FOLR3"
"M1"	"CCL8"	"PTP4A1"
