"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"Extracellular matrix organization"	"Extracellular matrix organization"	"43/379"	"266/7644"	0.161654135338346	3.26038050270796	8.57011739271498	2.99850436023507e-12	2.2488782701763e-09	1.95060599434239e-09	"DCN/COL4A2/BGN/EFEMP1/TNC/FMOD/FBLN2/COL11A1/SDC1/LAMA4/LAMC1/COL15A1/COL4A5/TIMP2/COL10A1/DMD/FN1/FBN1/NID2/PCOLCE2/FBLN1/SDC2/MFAP5/ADAMTS1/COL14A1/LAMA2/PLOD2/JAM2/FBLN5/DDR2/COL9A3/TNN/BMP4/CRTAP/ICAM2/MMP13/MFAP4/MMP10/FGF2/ITGA7/COL6A6/COL2A1/BMP2"	43
"M1"	"Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis"	"Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis"	"6/379"	"12/7644"	0.5	10.0844327176781	7.19288273967199	1.02322531856091e-05	0.00383709494460342	0.0033281749835297	"PRKACB/FABP4/CAV1/MGLL/LIPE/PLIN1"	6
"M1"	"Glycerophospholipid biosynthesis"	"Glycerophospholipid biosynthesis"	"15/379"	"88/7644"	0.170454545454545	3.43787479011753	5.25340016375192	2.33990360884093e-05	0.00422626465541933	0.00366572850112161	"AGPAT6/GPD1L/PEMT/PLA2G16/DGAT1/MGLL/AGPAT2/GPAM/AGPAT9/DGAT2/PLA2G2A/PLA2G4A/CHPT1/GPAT2/BCHE"	15
"M1"	"Transcriptional regulation of white adipocyte differentiation"	"Transcriptional regulation of white adipocyte differentiation"	"14/379"	"78/7644"	0.179487179487179	3.62005277044855	5.31199792671292	2.39537402683673e-05	0.00422626465541933	0.00366572850112161	"CEBPD/FABP4/MED1/ADIPOQ/CEBPA/EBF1/CD36/LPL/ANGPTL4/LEP/PLIN1/PPARG/PCK1/KLF4"	14
"M1"	"Triglyceride Biosynthesis"	"Triglyceride Biosynthesis"	"10/379"	"42/7644"	0.238095238095238	4.80211081794195	5.64311900342128	2.81750977027956e-05	0.00422626465541933	0.00366572850112161	"ACSL1/AGPAT6/GPD1L/FASN/DGAT1/AGPAT2/GPAM/AGPAT9/DGAT2/GPAT2"	10
"M1"	"Synthesis of PA"	"Synthesis of PA"	"8/379"	"28/7644"	0.285714285714286	5.76253298153034	5.76616770932129	4.39178787371517e-05	0.00548973484214396	0.00476162264202803	"AGPAT6/GPD1L/AGPAT2/GPAM/AGPAT9/PLA2G2A/PLA2G4A/GPAT2"	8
"M1"	"Collagen biosynthesis and modifying enzymes"	"Collagen biosynthesis and modifying enzymes"	"12/379"	"64/7644"	0.1875	3.78166226912929	5.10379837568821	5.85117389392239e-05	0.00626911488634542	0.00543763228036697	"COL4A2/COL11A1/COL15A1/COL4A5/COL10A1/PCOLCE2/COL14A1/PLOD2/COL9A3/CRTAP/COL6A6/COL2A1"	12
"M1"	"Molecules associated with elastic fibres"	"Molecules associated with elastic fibres"	"8/379"	"30/7644"	0.266666666666667	5.37836411609499	5.48781916923306	7.57823022359986e-05	0.00710459083462487	0.00616229773445357	"EFEMP1/FBLN2/FBLN1/MFAP5/FBLN5/BMP4/MFAP4/BMP2"	8
"M1"	"Glucose metabolism"	"Glucose metabolism"	"12/379"	"69/7644"	0.173913043478261	3.5076287713663	4.77892479677919	0.000125480823499419	0.00956034525848336	0.00829234157156872	"PFKFB3/UGP2/PRKACB/PGM1/PYGL/ENO2/ALDOC/PC/PCK1/GYG2/PFKFB1/PYGM"	12
"M1"	"Lipid digestion, mobilization, and transport"	"Lipid digestion, mobilization, and transport"	"10/379"	"50/7644"	0.2	4.03377308707124	4.91548670241364	0.000137861049595935	0.00956034525848336	0.00829234157156872	"PRKACB/FABP4/SDC1/CAV1/MGLL/LIPE/LPL/PLTP/PLIN1/APOB"	10
