"modules"	"GSM1045191"	"GSM1045193"	"GSM1045195"	"GSM1045196"	"GSM1045197"	"GSM1045199"	"GSM1045200"	"GSM1045201"	"GSM1045204"	"GSM1045205"	"GSM1045206"	"GSM1045207"	"GSM1045208"	"GSM1045210"	"GSM1045211"	"GSM1045212"	"GSM1045214"	"GSM1045215"	"GSM1045216"	"GSM1045217"	"GSM1045218"	"GSM1045219"	"GSM1045220"	"GSM1045221"	"GSM1045222"	"GSM1045224"	"GSM1045225"	"GSM1045230"	"GSM1045231"	"GSM1045232"	"GSM1045233"	"GSM1045234"	"GSM1045236"	"GSM1045237"	"GSM1045238"	"GSM1045239"	"GSM1045240"	"GSM1045241"	"GSM1045242"	"GSM1045243"	"GSM1045244"	"GSM1045245"	"GSM1045247"	"GSM1045250"	"GSM1045251"	"GSM1045252"	"GSM1045253"	"GSM1045255"	"GSM1045256"	"GSM1045257"	"GSM1045258"	"GSM1045259"	"GSM1045260"	"GSM1045261"	"GSM1045262"	"GSM1045263"	"GSM1045264"	"GSM1045266"	"GSM1045267"	"GSM1045268"	"GSM1045270"	"GSM1045271"	"GSM1045273"	"GSM1045275"	"GSM1045276"	"GSM1045277"	"GSM1045278"	"GSM1045280"	"GSM1045281"	"GSM1045284"	"GSM1045285"	"GSM1045288"	"GSM1045290"	"GSM1045292"	"GSM1045293"	"GSM1045294"	"GSM1045299"	"GSM1045301"	"GSM1045302"	"GSM1045304"	"GSM1045305"	"GSM1045307"	"GSM1045308"	"GSM1045309"	"GSM1045311"	"GSM1501818"	"GSM1501819"	"GSM1501820"	"GSM1501821"	"GSM1501822"	"GSM1501823"	"GSM1501824"	"GSM1501825"	"GSM1501826"	"GSM1501830"	"GSM1501831"	"GSM1501832"	"GSM1501833"	"GSM1501835"	"GSM1501837"	"GSM1501838"	"GSM1501839"	"GSM1501841"	"GSM1501845"	"GSM1501846"	"GSM1501847"	"GSM1501848"	"GSM1501849"	"GSM1501850"	"GSM1501851"	"GSM1501852"	"GSM1501853"	"GSM1501855"	"GSM1501857"	"GSM1501859"	"GSM1501860"	"GSM1501861"	"GSM1501864"	"GSM1501866"	"GSM1501867"	"GSM1501868"	"GSM1501869"	"GSM1501870"	"GSM1501871"	"GSM1501872"	"GSM1501874"	"GSM1501875"	"GSM1501876"	"GSM1501879"
"M1"	5.88677470243111	3.39753567525397	5.91718787589132	6.12955879749719	5.99974735697226	6.03903972431351	5.66642352095781	5.45726466406139	6.08458968556558	6.06873177993966	5.78916461930465	6.02921094955178	4.35760711165637	4.30660206331524	4.10727829967272	4.43036507095792	4.008850617102	4.74065702253836	4.61605928889734	3.86924120930922	4.31884782290634	4.42070216635424	4.55173762308275	4.05539072103811	4.45054666455358	4.319651648531	4.26908345893829	4.46285769238349	4.4349286814068	4.04869063846094	4.44034400061149	4.50857848857661	4.95665620038872	4.44331116032103	4.23287824049016	4.85997004522301	4.54761991989308	4.27125445351542	4.2192249004044	4.30824080689323	4.10165712584734	4.5199122779679	4.21909542769983	4.09183722495984	4.71668304737951	4.95110650333192	4.28742100434172	3.93229838310458	4.4874055097774	4.16291490873557	4.7275765347998	4.3014082249742	4.36727510369702	4.32486283660733	4.4016169702616	4.38558286098138	4.25665087057109	4.04618571938119	4.57208524637164	4.56456054325845	4.48225696673667	4.4926537785216	4.35569049160855	4.3380720519941	4.12382631265147	4.38224950190161	4.66365129795602	4.82405110929061	4.15395066526761	4.22866423468409	4.16126924938792	3.78918526259061	4.75271312209535	4.59382392175197	4.24244999852169	4.45325109388691	4.26472847300853	4.19544436415905	3.77932781431151	4.58576680700422	4.11870896210359	4.84052856264165	4.58405495284414	4.32111116376054	4.76724327936141	4.5848356083877	4.69620122742914	4.83308379293382	4.2549842738844	4.12871600012538	4.57586679876804	4.17598869522938	4.22359835052969	4.33752364048822	4.65874301106994	4.62453063544739	5.03627798930656	4.68404767811636	4.38975376081322	4.48516196263811	4.70815723662664	4.62979443107883	4.31859137421737	4.80851524475797	4.41348265608758	4.61925611275978	4.37974391731616	5.01076690565579	4.46573300370552	4.25617133927483	4.53479507873649	4.451582048829	4.89859631234851	4.44112995055137	4.54352629479646	4.71170897055213	4.66085366273679	4.32954792352171	4.79200960103457	4.76983807417516	4.57427403332617	4.60444600938859	4.53272383337297	4.64290896211785	4.6706115595684	4.39708792675845	4.71493569924986	4.67103620343541	5.00074553877335
"M10"	4.62850733438188	5.78052184539473	4.58873330111873	4.34181741507728	4.36341702251372	4.30022723208931	4.34171613342164	4.30263222834239	4.43766113386852	4.26524005329147	4.39923733729665	4.17108760318007	4.61922608733308	4.47364208741588	5.23282173786521	6.62630390395919	5.37308419943954	6.52183820294807	8.32438843867372	4.73391911389993	5.73051869350096	6.14973874265402	6.77775689506231	5.13458948196967	6.27362984841455	6.13974954025153	5.54596606893786	5.93331690825937	7.80986788370008	5.71716055385277	5.19993287245931	4.69814892566377	5.16860851495568	6.17891327088018	5.12764761854238	5.756953925352	4.83550361928301	5.15878126732124	4.86212451436509	4.58365512022891	5.16142160300635	4.40887135444836	6.18812903491293	7.1947416504224	4.94754535566104	5.91769685439991	6.30044966398145	4.81439067824141	5.24424030971464	3.82006913368155	7.43206160230141	5.42868881081743	5.47710539295977	4.00998359905668	4.56132417005788	5.78135260715665	6.39396508112856	5.4221268971116	4.46447814543523	6.57881124795826	7.15203688551671	7.46711559726624	7.80888007972186	5.66253458042997	4.77686528021087	5.90657466380655	4.90277960520476	4.96764810734865	7.17768541062692	3.74029305610987	6.0767643753704	3.60219309829434	5.7305907842	4.51212699433775	4.93749114845786	3.49217710324396	5.16561716099502	3.96819361116506	3.86926803281444	5.07880845120256	4.63793657454981	5.53696760310523	4.23366527734071	5.22696619054152	5.15817020660728	4.64756810378274	5.14960474928066	4.30805841990619	5.94883670799249	5.63433447759837	5.18452902891905	6.01161395122526	6.16130048151291	5.45310849489934	4.53481103337235	5.57945073331392	4.95921904915737	4.71950679648018	5.93172303770356	5.61847303048579	5.20295845877582	5.02493158611516	6.09525947007628	5.44942903060007	5.19971990215649	5.21410079435945	5.81891632533843	4.68882712718103	5.35169179256652	5.98443440305881	5.53997391258696	5.5345460060006	4.97759867672463	5.1968254088868	5.30404631654934	5.16726832885287	5.63417145161485	6.32554900319553	4.80781938103237	5.51282909863727	5.63308912774114	4.97934505460447	4.98135430788149	5.80122643125986	4.96849324055452	5.12988689529463	5.35572151053597	5.29385194373042	4.69322185551892
"M11"	5.44516874111449	2.45094393276071	5.61995389759702	5.64608488213627	5.83187864700218	5.82175305338259	5.94045009292908	6.07422029575979	5.88684147796299	5.61787127982588	5.2961510502744	5.50665722269132	5.63955968845877	5.46373356939367	6.63306464658934	6.8108704586508	4.13005371078125	8.28076099800252	5.8733952682744	4.94596744815137	4.80841035319988	5.0598185997119	6.08096333771735	5.54274112751961	5.654945291527	5.45663255758757	5.66876913479867	6.14674629100693	6.217820244677	5.85215969038313	6.90784233272029	7.275474291394	7.16649957822304	5.67362309905365	5.3642983377518	6.79973960475879	6.83222025528185	4.98528490394224	5.62060361696095	4.84426484672929	5.74475676863017	7.06835292188352	5.41206388399614	4.27916951521065	6.51791743698132	7.52106723079695	5.0802594730168	5.90711706782044	6.35246584422676	4.59612011645545	6.65030188629089	5.24011448711335	5.20032659291214	5.77789588645782	5.23649619023329	6.30739240134742	5.78281524602174	4.13649960418518	5.63709724922072	7.45437369884514	5.49412662233191	6.60254067460405	5.96565885187285	5.87866359066575	6.63755062711873	6.93976259396911	6.46038086248654	6.42847929728604	5.32815316714105	5.05338862912178	5.07797017643046	6.2933889731386	7.18488373757154	5.31665406767345	5.26255513153541	5.24993667485912	5.93776818212849	5.60163465581365	4.62564672950623	6.75894953208179	5.11894729960743	6.7949684797176	6.67376339255498	7.08478813368783	7.23092419868149	6.22623549187454	6.15883107580197	5.51060302335394	5.13647486329045	5.59027577243971	6.34078600155299	5.6782191464081	5.20941825809964	5.32765959547321	5.70247935073448	6.1572800417771	6.08627089975286	6.37849173480505	5.46887588404815	5.78617739374956	6.26211702566096	5.70744350655418	5.70012959722405	5.84301921711586	6.01144831366962	6.01082297171094	5.51100766747689	5.62324724207854	5.04158978214706	6.18382747746227	6.30818888043991	5.67557572432378	6.2947394157353	6.20138414201364	6.13490209916868	6.28787707244358	6.25869435023918	5.70263081356007	6.13622972948868	6.02351313436644	5.94485709985638	5.30126647114587	5.94882109669676	6.13901516695783	5.83623093574517	5.19625428305449	5.90082995070473	6.17397593513498	5.60170468034378
"M12"	3.9178050957443	4.19054021935852	3.34598529528014	3.16764377692526	4.29787767022647	2.88045327531295	3.81364208226712	4.78640899082978	3.16443068368136	3.88431357040313	3.99776859861724	2.95575201481676	3.69328877389585	3.89325970458556	3.65187873743549	8.07638992319871	4.29461468122207	4.63603365308369	5.46731083228032	2.98921294210488	3.27234899385997	4.02297876438329	3.87693324481368	3.70688600255253	3.77191835617938	6.81108302792163	4.65287779940292	7.00259964834445	6.95447529164024	4.55381853951908	5.06777251228667	2.68483689084935	5.39361103553776	6.62956188719914	3.39197704533901	6.86142499564159	5.04380152319091	6.773621013523	4.05264112130973	3.53107587856243	3.62477509358564	4.18162250823227	3.17328140428445	3.656426463133	3.38230332637833	4.06757831844995	4.7946400333365	3.50286325064251	3.48699096172043	3.17091029012245	7.36714496264505	3.77942853115742	2.99349383909674	3.28998513048968	3.29485831921799	4.69426290916464	4.47869566792752	4.46253419172827	4.08963304906524	5.20909282692074	4.15559440968698	3.45301830246848	3.09470928490342	5.00373369647739	3.53845299124451	4.10816537819466	4.43642276809395	6.04806784685921	3.43187518158573	3.30325299565554	5.145394498968	3.81833019901336	3.51980666103209	4.14235462985679	3.73036120540294	3.49439132669797	3.24104445235736	3.99321284890694	3.58623050329353	4.35441786601046	3.7488075259311	4.99675971348892	3.42510778595254	3.34351474215951	3.78055054160396	4.05483517662233	3.7594533954489	4.12065562674975	5.10691350070245	3.19823099361355	4.44310462007162	2.62274209289696	5.01588263839971	4.98037155868326	3.70959780602107	4.39258903135231	3.51274454066943	4.15764860339058	4.55271222011984	5.18840571198379	3.96988954404374	4.17343219353297	5.15831513294312	4.75119942831218	3.4811460822995	4.64215744286158	4.4650116526194	4.56133674029364	3.09661563516412	4.45714295902748	3.86464725679185	5.17027184252159	5.08911808481332	3.79602971666988	4.62926481423918	3.83184183059027	3.96975733045746	5.26918710105813	4.343452429662	5.37284405166687	5.11108756328906	4.06057639410095	2.23086955928769	5.19468249887255	4.24082928418058	5.03964608924999	2.47904851139237	3.55672822850216	3.56678006831421
"M2"	4.4931761935463	2.97033265526729	3.86682982621812	3.77812278786009	3.86835093844098	3.96491375755807	4.68697605317939	4.23069456980321	3.74965731077134	3.90417905342363	3.64888880356265	3.75553515976771	5.31881296188987	5.19732382294758	4.32721546426019	3.62709832361175	3.30397261628962	4.85609920239292	3.77432336035669	4.04091557758862	3.87781474148543	4.18705438645449	4.77710135469385	3.32676015709329	4.49879245701432	4.62275820335675	3.51675935126902	5.41113330164555	4.63535276145181	4.99085321055509	5.11838316025036	4.66668913494189	5.35172232566791	4.54050713046578	5.25331389362889	4.28690377551901	4.80725024379643	4.80582067430563	4.20283951625078	4.50843318836869	5.07729989431414	4.5035760883507	6.17981964558556	3.86089018793522	5.83529339112116	3.59681216244718	6.05541636411988	5.07238757874894	5.3602231562152	5.63403504518632	4.9455231246552	5.04246206040053	5.87124436225088	3.73005606315132	6.15990325025889	4.94849109796653	3.43434244743214	3.33374205852583	5.48735604869061	5.42445330476963	3.7118597109068	5.02741224656112	5.65501875198991	3.9010467988281	4.82617475857852	5.09526524052289	4.52550388767528	5.04860439737365	5.26747035017571	5.46830774006562	3.98592064059159	4.11243952039363	4.71014206705974	5.71521520963979	3.58907331567066	3.88259385117504	5.57230987082704	4.7204303428153	3.55853751918967	5.51104063458641	5.66477768320844	5.41418999952118	6.06599038663662	5.17044103309512	5.40432703892695	4.952069510129	4.9544801625914	5.13650840807324	4.59996652703442	3.96360463382065	4.16493088200819	5.1191556568936	4.35630380366429	3.7238239866362	5.33717605786237	4.45505335322103	4.99705781130083	5.09188486454753	4.61088397276504	3.91234892216618	5.17137516374339	5.06801662757898	3.88515354493011	4.03643878863044	4.82205029459364	4.98864878431724	4.79535384585143	4.81608923050888	5.30973985140527	3.73520994131753	4.96778865571441	3.83887448885518	4.46284540031622	4.97750969687468	3.96334649967071	4.94054993426643	4.49593166661928	3.8558157351285	5.01580035017032	4.4906100947618	4.31837214210889	5.08112131047069	5.33427086747745	4.06564012177144	5.15032450578855	4.36873124707721	5.02016535054067	5.2064223289769	4.86251998959083
"M3"	3.39001003310702	4.33705093512044	3.11895115631047	3.08195995401274	3.20877879733553	3.14725886027752	3.7036428717252	3.64446747206354	3.13245856307037	3.16207645829577	3.05402272705805	3.0404676686302	4.55838068996429	4.41832082540244	4.0702800231386	5.29787318948687	4.38900419360493	4.58020206030249	5.30972762634505	3.71322558880593	5.19560614183826	5.0223626638128	4.85211345676458	4.81674856044844	4.58544252457327	4.53936255310734	4.82044188511431	4.80379967059053	5.04609060465954	4.459772065219	4.28285788850214	5.40434975599756	3.75238056298576	4.64680742038029	4.34873810584076	4.74092225002882	3.81248173684379	4.10209900015164	4.6206475110361	3.71687429319806	4.12173173111853	4.45447883764002	4.42981474562378	5.36198239365785	3.60918177586164	3.95912182969291	4.21893462035007	4.24006915137215	4.56126436318218	4.35963668150603	4.7438012459231	4.41931137400083	4.15892927577711	5.45205865538087	4.37812547440983	5.01655383018479	5.35913049482077	4.42847321836635	3.66313315505708	4.65547649554625	5.53890958458791	5.01848500560509	4.54820331398443	5.01262146755562	4.10879405520079	4.81587714438688	3.93753128603457	3.56118028661163	4.78638280480581	4.56787501797451	4.56069015543263	3.44282013708666	4.4062021509019	4.50212124693863	4.53779943356825	4.21069375401898	4.16557017264162	3.40310805965031	3.91016431287978	4.19637076788599	4.22757496631575	4.11711101472677	4.06500660583434	4.11707194012893	4.40620116716109	4.21961699444576	4.06961269616213	3.756930589877	4.57471597187629	4.47677781787369	4.49526483951005	4.1618563146049	4.44935472509145	4.48563497615704	4.21823772632089	4.5992208446915	3.75771419858288	4.08833922585522	4.37403125177888	4.54832612612596	4.09021882595636	4.03013571787676	4.47151017210309	4.53259372936885	4.57297987914027	4.51756347819371	4.59799211722699	3.81981358954555	4.03416506863147	4.41168995076486	4.34002946200012	4.54936671669098	4.34435958327501	4.37700178681921	4.69591213608177	4.28812177432216	4.51537123590888	4.61992247757053	4.26272627785667	4.28749006246998	4.62633580363498	4.2663073072665	4.0972766732653	4.5477124788843	3.82620216244073	4.47233724080927	4.33161728000043	4.12799348633907	3.85291475894159
"M4"	3.90919916482728	5.63501315507918	3.94041128253259	4.00181864169766	4.00804990825862	3.66981814842431	3.94070208818643	4.02065137921021	4.05509849091443	3.72696928924396	3.95419682571661	3.87326808168543	3.9627333297547	3.94232121596128	3.5137474878913	5.21967003655753	7.06673735619231	5.3923696477889	6.22493910680265	3.3512185196037	3.50876107897352	4.59694071442889	4.4745255127922	3.76150561843109	4.68382285429547	5.93531762823641	3.96817280557058	4.86130342043161	5.99615258179517	4.23130185078915	4.22039552578886	3.68312953595739	4.7220418358925	5.52015166564519	3.86062437146029	5.13185037940202	4.3918638384865	5.27203104409299	3.66554754640978	3.75617085136854	4.2345013320826	4.0675214378998	3.85662655478138	3.45859950804206	3.83973419943862	5.65631884437575	4.1896174726965	3.33494980510942	3.60883413780163	3.31748564704281	5.62052190774651	3.92643925020609	3.94514391289822	3.4545390714396	3.85813891510097	4.41186769419145	4.74901580552372	7.14924281466388	3.79638270925966	4.70578066707765	4.48009913576301	5.41423302279246	3.74420370501596	4.53655828621091	3.72096552920667	4.34099304277528	4.51999317080149	4.160271651154	4.92659733942294	3.45332274814653	4.62827365545826	3.34285167379097	5.05943459074812	4.15091814876424	3.89190807946772	3.373477200095	3.84482148588563	3.67201550636158	3.30261665625965	4.18778328279114	3.53492548912329	4.14467620337603	3.54329984518119	3.57969730210281	4.02007565352175	4.16533346738122	4.3399123467324	3.72860694482031	4.75990620111147	4.40312375659857	4.09961673877266	3.48883236778076	4.77318747211002	4.39250465106521	3.74862745416907	4.2457899110688	4.22250413234694	3.96229388113887	4.81024758166703	4.43551590195201	4.22382775670681	3.78454088973696	4.74679035051476	4.74698951929629	3.8008289073744	4.26058949010757	4.44364739308579	4.06218993634748	3.99862429540256	4.20647491034358	4.34964843966663	4.82969022625977	4.34937298800325	3.78960806480834	4.1841395699689	4.25380815121709	4.29666976612797	4.82577227507964	4.13558372656607	4.8948015235487	4.73518304544175	4.20330938333965	3.97461432159975	4.89524318753979	4.24245825158286	4.95355232406247	3.9635593206082	4.02845026852582	4.34700151982839
"M5"	4.25331229392633	2.87533551342737	3.39267436535999	3.16104046708394	3.56127017928256	3.24346200947701	4.94200686008714	4.40998096074828	3.17476626749243	3.31986281970917	3.11570530594137	3.15560319139022	5.4230028175017	5.37968726141546	4.86106153919305	5.19919803071123	3.14554220464217	4.96428955497313	4.93823256094264	4.80832185115012	5.54129159354577	5.32241275612593	5.53327697032141	4.63568688962283	5.24036525974576	5.36159492515081	4.73572746770842	5.53298658370164	5.66591538021252	5.20313387064495	5.38798523221584	5.41209510081941	5.38966018774299	5.45191061735822	5.4818152703348	5.45832198839486	4.66279056820261	4.85628591418302	5.37190748431051	5.00282259721524	5.21258079761568	5.39854751668057	5.51676321497026	5.37143021934991	5.32442478836607	3.4586582974386	6.36304799567222	4.96899316864536	5.2181371280649	5.5142762186568	5.31599988235862	5.09873526638001	5.75532103644739	4.59137679461129	5.84329771834956	5.53980974272709	5.14110103811153	3.07904748716371	5.23318032363477	5.75443002855644	5.50006823289492	5.5474528754946	5.83110197553403	5.29540691795291	5.3261641081677	5.43711831211992	4.60905294047462	4.98746769187697	5.11912610542649	5.35095023448789	4.27274303783248	4.33377597857826	4.9845171691142	5.77049525227148	4.72732185566556	4.86436735915537	5.39576796204617	4.67271351771188	4.25289194062606	5.54921954787035	5.68300452838516	5.33129866749137	5.50459249142546	5.21127527127025	5.69114914020501	5.16385983480467	4.93199255033399	5.10209613692836	4.78229020904748	4.39650131478398	4.94757541894672	5.04883806201618	4.77009131464647	4.66508464388966	5.30709682855073	5.19513441715758	4.82597037010676	5.13117616405989	4.96556989646348	4.77446447228427	5.02837141482916	5.24967738434245	4.7167335609064	4.59270801785641	5.25939750953111	5.10742480225075	5.18946517821821	4.82907132197903	5.19546170343451	4.34128066874567	5.04739906413394	4.64094064495631	4.99140598579696	4.99602371858073	4.71817075489692	4.95895235534967	5.09814688283391	4.67427162814525	5.20192761152361	4.78130362295436	4.97441744579148	5.06529812698132	5.26875559030694	4.74826183540011	5.12012073041977	4.98309299661116	4.83891585262038	5.08392355830433	4.8168015520352
"M6"	3.89979780366219	3.05006230265695	3.64847165228918	3.4702538696982	3.80674480613545	3.43557547113236	3.8681465565412	4.62158522133214	3.52862266924931	3.59690582930009	3.33450663095454	3.34430394344517	3.66849522486877	3.68272260096211	3.76701995744737	5.67034705313239	3.47775125037247	4.09750939818267	5.20844392201272	3.38494446426044	6.38240371272194	5.99955295521807	4.19289618410449	5.15944765751584	4.31634447909134	3.75900267507145	5.06918837013167	3.7193817628163	3.94647992461378	3.08232055715123	3.82850452936221	4.09448893445952	4.22415076613275	3.87805852983111	3.09303341417367	4.04663294171154	3.75011439796974	3.38014308226173	3.8212592388586	4.04867449055964	3.35005607022571	3.41742257545865	2.97627460864922	4.46784189206712	3.37798093829274	3.51015877483933	3.60803776750527	3.19022420157356	3.24288896871589	3.09509652825771	3.90341385013695	4.76040394466593	3.37302943874158	4.99644829477912	3.42109375493352	3.88842204410861	5.70769408135929	3.42533859934452	3.79680927271382	3.34304007990969	5.93927844771465	3.69772364202116	3.17314830836147	4.92005152843978	3.18493496840485	3.62487076902969	3.42350216658023	4.45563695719408	3.12252820002407	3.04831377216292	4.46637956412565	3.0839640507514	3.6748791703015	3.72455373711188	5.56741433328094	5.66954425582649	3.65645222103435	3.2107853263399	3.29304485750641	3.62728713105131	3.16340454653343	4.31595488212161	3.61176954899442	3.29310221878066	3.67861214228596	3.56487518155533	3.67215271893931	4.32503878171481	3.41683607565338	3.9386787051524	4.22753434298737	2.99682001714228	3.38661807121305	4.27453976486241	3.91426104366163	4.28634244496305	3.88063554725415	4.18467966429724	3.17718205172503	4.69886198395273	3.78861141197923	3.72313395037192	4.45313882961728	4.50339289687238	3.7136982858401	3.97504740485955	3.61444814594176	4.53987589222751	3.81565775535587	4.19475334397057	3.54292451710955	4.70998371460888	4.15082591222405	3.28192656276289	4.81273560626772	3.91768591906841	3.91437137719665	4.53812536658244	3.87604561184217	3.47598795247072	3.93441006431205	3.68199598792288	3.39580633592602	4.5828494502944	3.71825472820458	3.40321146448323	3.30782967797597	3.56773491587842	4.3185016518436
"M7"	5.78158952284036	4.27657679404484	5.87687073889716	5.95237034990783	5.98378666414271	5.83705135130764	5.74171191665493	5.44252790843992	5.72902722707843	5.93525567082182	5.87028190737391	5.85839018893444	5.16232749045565	5.28085326206508	4.71040677489767	5.97124084746301	4.96685507048856	5.44066509131728	5.9192666942268	4.30425087807379	6.1177882051473	5.92181515197631	5.57082202770075	4.77095378100203	5.13907975969653	5.86490862223817	5.06773934917679	5.6966270112078	5.31406195980698	5.19920627813363	5.04785122087527	5.64990608778598	5.56989206657869	5.7823821704252	6.05381677025412	5.69677800149056	4.83267481307118	5.4996047421388	5.51204312822338	4.77357107005168	5.14048181682359	5.25434498362544	5.39883029669927	5.48783664163289	5.15828408666196	5.80369844617612	6.02892759049865	4.97564474999982	5.33991065468196	5.48725085177895	5.82397292789773	5.28198337769233	5.6890380965954	5.85783638944498	5.74613310584033	5.42037516909198	5.58863079227089	5.1887170359052	5.12568868043132	5.77826722819898	6.29255253301281	5.72817067795573	6.05622769044149	5.53559630731668	5.3018453059227	5.62362830867296	5.36843873990705	5.37200795151247	5.1635781537685	5.48413479610415	5.15441998400939	4.23216335674507	5.21608947631006	5.43441323111617	5.31845905079854	5.03963367399491	5.28035526021033	4.31290879908582	4.18549706610005	5.66575197477797	6.02700566102151	5.57657713204993	5.21954452255126	5.06623068522702	5.78476114712734	5.39009526089131	5.47252179959316	5.27858416818677	5.46279266717806	5.398621174683	5.38349008137507	5.41555976750524	5.36966503550677	5.530173515217	5.44403783319537	5.44477638943517	5.31319368959911	5.43436463293503	5.47849537759386	5.50450611286649	5.43163141096657	5.4789401478368	5.54826269243314	5.52780003444527	5.44088693293038	5.41446570095358	5.43458206317588	5.35355061100448	5.44305991066241	5.43346505625446	5.4163661851708	5.57644852000279	5.46269988691466	5.39074490696795	5.47315362888792	5.45360394117535	5.46553467681282	5.51763503483417	5.3873737611592	5.41834297414176	5.4161727731756	5.34531998150828	5.43262456123505	5.50241484225322	5.45388539732795	5.46957772126625	5.56983248062061	5.48364692228873	5.20104438845246
