"modules"	"GSM1045191"	"GSM1045193"	"GSM1045195"	"GSM1045196"	"GSM1045197"	"GSM1045199"	"GSM1045200"	"GSM1045201"	"GSM1045204"	"GSM1045205"	"GSM1045206"	"GSM1045207"	"GSM1045208"	"GSM1045210"	"GSM1045211"	"GSM1045212"	"GSM1045214"	"GSM1045215"	"GSM1045216"	"GSM1045217"	"GSM1045218"	"GSM1045219"	"GSM1045220"	"GSM1045221"	"GSM1045222"	"GSM1045224"	"GSM1045225"	"GSM1045230"	"GSM1045231"	"GSM1045232"	"GSM1045233"	"GSM1045234"	"GSM1045236"	"GSM1045237"	"GSM1045238"	"GSM1045239"	"GSM1045240"	"GSM1045241"	"GSM1045242"	"GSM1045243"	"GSM1045244"	"GSM1045245"	"GSM1045247"	"GSM1045250"	"GSM1045251"	"GSM1045252"	"GSM1045253"	"GSM1045255"	"GSM1045256"	"GSM1045257"	"GSM1045258"	"GSM1045259"	"GSM1045260"	"GSM1045261"	"GSM1045262"	"GSM1045263"	"GSM1045264"	"GSM1045266"	"GSM1045267"	"GSM1045268"	"GSM1045270"	"GSM1045271"	"GSM1045273"	"GSM1045275"	"GSM1045276"	"GSM1045277"	"GSM1045278"	"GSM1045280"	"GSM1045281"	"GSM1045284"	"GSM1045285"	"GSM1045288"	"GSM1045290"	"GSM1045292"	"GSM1045293"	"GSM1045294"	"GSM1045299"	"GSM1045301"	"GSM1045302"	"GSM1045304"	"GSM1045305"	"GSM1045307"	"GSM1045308"	"GSM1045309"	"GSM1045311"	"GSM1501818"	"GSM1501819"	"GSM1501820"	"GSM1501821"	"GSM1501822"	"GSM1501823"	"GSM1501824"	"GSM1501825"	"GSM1501826"	"GSM1501830"	"GSM1501831"	"GSM1501832"	"GSM1501833"	"GSM1501835"	"GSM1501837"	"GSM1501838"	"GSM1501839"	"GSM1501841"	"GSM1501845"	"GSM1501846"	"GSM1501847"	"GSM1501848"	"GSM1501849"	"GSM1501850"	"GSM1501851"	"GSM1501852"	"GSM1501853"	"GSM1501855"	"GSM1501857"	"GSM1501859"	"GSM1501860"	"GSM1501861"	"GSM1501864"	"GSM1501866"	"GSM1501867"	"GSM1501868"	"GSM1501869"	"GSM1501870"	"GSM1501871"	"GSM1501872"	"GSM1501874"	"GSM1501875"	"GSM1501876"	"GSM1501879"
"M1"	6.03610915073173	3.03070090110445	6.21544626137257	6.47772061964822	6.27019334059217	6.44205361699641	5.68633004605991	5.56096341939953	6.40855159535485	6.4306905101046	6.03799010187252	6.44254668075279	4.24783334701638	4.15887273801616	3.86226336596637	4.27209203393941	3.65614264987648	4.79078076223913	4.56701197418018	3.49360418109881	3.97470308201365	4.33049111405236	4.61268055488473	3.74647198470407	4.49310842772403	4.09320360693322	4.10580723772132	4.39232241753225	4.28255707073222	3.78665741618006	4.44924214092292	4.48696297524249	5.00884028063595	4.43052015987193	3.99361048851437	4.95460002679833	4.54127272205452	4.16894950656376	4.00774224260224	4.09498140021311	3.87902104557878	4.42910954335805	3.90870304901722	3.66926051780488	4.69281434466182	4.84722896135979	4.08919040187153	3.64626573831364	4.32023035282353	3.81017701619735	4.77270793641275	4.16824808243608	4.32928223664249	4.2267282344898	4.20984478486447	4.24443967469224	3.96227453899855	3.69538589218062	4.47313399956194	4.50838598239976	4.33802693193943	4.47237699610395	4.1972107356876	4.17301575456762	3.84636897364618	4.19695971728914	4.58730602040098	4.91771823086303	3.83862432408532	4.0004486676595	3.9735531929597	3.51371661089896	4.76906209033053	4.60798307777325	4.00218631698467	4.30493484296693	4.12146426850887	3.99075786886226	3.42024777337515	4.66151517289833	3.84751168728663	4.97369171464493	4.58351069491001	4.15033677738518	4.8341526465672	4.65358178423212	4.71992451033304	4.8223874267574	4.25388153790308	4.16570614204843	4.58066014148218	4.25756113018605	4.232922054921	4.35889700354869	4.61452378519695	4.65000900423879	4.96179175144624	4.66797896201416	4.38905009625075	4.5515281015451	4.68162347945615	4.60791306095064	4.36981584170417	4.76892464391128	4.47629098618933	4.58291057552651	4.41022768406366	4.91815768872642	4.48164972158921	4.3642248654689	4.59282070182227	4.54387154855649	4.86657527945156	4.48243470790545	4.58714820867051	4.69792021809213	4.65869347720553	4.34890462391541	4.75135857531972	4.75977489489094	4.60527796815132	4.54727694478443	4.58780266147181	4.68574737770165	4.68295901689217	4.46796274856272	4.73170458008124	4.67436144001012	4.90952771491924
"M10"	4.63697194099477	5.61082008814784	4.79609536672396	4.182597035808	4.20765503770868	4.29674279054599	4.42762152236609	4.19345353367125	4.47106387302086	4.22124271288498	4.30186801033364	4.1170568152318	4.51476767156066	4.39204786005905	5.1178626106048	6.65999283785042	5.77927198330671	6.37237706181699	8.41549075093313	4.81446116500368	5.41556252748381	5.9374240767047	6.68468894118211	5.22988989280355	6.20652275675403	5.39002540677858	5.20420172905022	6.08040127722211	7.54398352416263	6.21374492054538	4.97583606132383	4.60833225647383	5.2187595199941	6.43426308051502	5.20420172905022	5.78810189253791	4.78225167329143	5.43663534680391	4.95702025733259	4.16651914981293	5.13328179361752	4.13481170728142	6.31452656123579	7.10418909880898	4.72083584812532	5.88789810066134	5.96642109484544	4.44800506152249	5.19039836539376	3.56518626878502	7.2393427909377	5.19423564356916	5.49124815614297	3.65684073950965	4.73923403459316	6.14161616673137	6.51575277722835	5.84626799838503	4.21175278340537	6.41156574501016	7.03526257877019	7.25516787429801	7.45572074469441	5.4875799087802	4.6163637727357	5.9639845696064	4.70474062035197	5.19917291552049	7.47314469358549	3.50313035462469	6.36912523482512	3.34920352151038	5.69691484599216	4.4005982886852	4.94466280305362	3.24953090716522	5.18622815403853	3.89966724412016	3.59112353634159	4.64041188972645	4.03466121333888	5.62894635840104	4.23656661586194	5.04505668567663	5.09089412199856	4.31881991607881	4.99940849932441	4.60660115562367	5.8020319251374	5.5671435480452	5.26920033213998	5.7707323427603	6.1473998213472	5.3348461985982	4.58822766466451	5.57308554872122	4.77658534071843	4.93167643903337	5.85538203677772	5.62227354605998	5.25152133713865	4.95557881145338	6.03104159206381	5.6183890865553	5.21523722697156	5.1332706828505	5.66379661909376	4.62971600367359	5.35769050758978	5.82641505600014	5.57517269080247	5.48177269842693	4.90482630800766	5.26503303237709	5.26478765242669	5.00133185904393	5.45747437361452	6.11708061063507	4.7785442675451	5.49702961513427	5.60151521490359	4.9690118021673	4.97695566390697	5.7214947387713	5.24323669145481	5.19357780047458	5.34189895839394	5.25931303428441	4.77952948378821
"M11"	5.55797788133759	2.48406152333518	5.94313647165873	5.8605316390493	5.80828803542508	5.54934033034963	6.28622272650607	6.42144247850779	5.96887125847343	5.48724643372948	5.23249303679463	5.46508491946619	5.63410327860296	5.36139805543492	6.56825740887808	7.31030727676142	3.53234534807084	8.339157072099	6.13171170724805	5.12627067372477	4.86720775113625	5.32023245019223	5.99113510595281	5.37655539359295	5.66286151625286	5.72666701919056	5.89584423582038	6.12007816048873	6.1827352012696	5.53471516284519	6.94164100527428	7.05317977055829	7.27730595531091	6.11361629189238	5.01984651603621	6.90305511691951	6.86308474957936	4.99140519893367	5.68104677703133	4.83498334928078	5.30633991244013	6.75408109278415	5.38695359733748	3.70494870984901	6.73784986979686	7.91190925081112	5.19065628818939	5.64328859409785	6.03587029271468	4.58817159435616	6.82478356191214	5.2291521140837	5.41463076254867	5.96832619679232	4.95373769346407	6.15753186448365	5.99626482463715	3.80572260108364	5.6850795805787	7.69699921413815	5.85374886836975	6.61826001091091	6.10475678091662	5.57248477038346	6.79620363975472	7.18120854255815	6.14195645347427	6.56900690221981	5.45028431926978	5.32540177620435	4.64108593997083	6.25158461932075	7.28260360635289	5.3816254763538	5.25659304153959	5.4988769468733	5.70643585622621	5.14591068877895	4.16681604957534	6.79961902697112	5.42075000743137	6.82053056752857	6.07256357844338	7.07389208794574	6.92207598634437	6.0172730152224	5.99312123173617	5.46516490098204	4.77575492999093	5.55534978927828	6.16687257812117	5.56495706720344	5.50489675182311	5.51679648964526	5.88293751204062	6.21576627995407	6.05748196791218	6.26896559405797	5.25128964872625	5.8268728605276	6.17173245047413	5.67546000588413	5.79323663459173	6.10653352832589	5.93549863287581	5.90339477792985	5.48517661235495	5.7425095171557	5.18750901688093	6.45293385314437	6.05299691270014	5.78080903399272	6.23876764136008	6.10959463702719	6.19564470877157	6.22022495010941	6.26807279058879	5.85630989985922	6.07674806839476	5.89439980477311	5.94561228563319	5.16643217972894	6.13774538840385	6.16200177533964	5.61886672743672	5.19517392079073	5.9949411095501	6.04072354561722	5.38141576348368
"M12"	2.88642065055965	3.57857449586164	2.71475069325751	2.60196854087979	3.43331642627387	2.52348127486431	2.89805227190484	3.99289624052648	2.66584784848672	2.93820879363811	3.46688772980692	2.72142690964437	2.85732274861223	3.19753319520635	3.17227014081342	8.20514001047554	3.31859625537803	3.79434787342807	5.01804842062978	2.76790059524119	2.76092003634928	3.2685968079721	3.15456477982636	2.93695628986473	2.9018140540095	6.79520677795212	4.26587261451498	7.06171808095737	6.60803667233059	3.51583371117603	4.6163865738201	2.43092247293501	4.83675943196563	6.34239757304869	2.84603818696033	6.39510117565831	4.22797342952418	6.83494239092737	3.40840283066359	2.81188379021573	2.77120193068641	3.33296486225955	2.600134202892	2.93237914650301	2.73394459719997	3.45373682429196	4.31605362223058	2.87671319325945	2.78794673323533	2.67758048747387	7.46082647849156	2.94889996831587	2.5640756285393	2.6135112715068	2.78351224293605	3.92261779463538	3.76818325643332	3.68071430392756	2.98020577872483	4.78853247847476	3.52048109036367	2.68720032556493	2.72460888688833	4.38958123604209	2.9233891018955	3.3949662108182	3.67671291878221	5.62571883381215	2.64750107830699	2.64449920886186	5.03314155864419	3.50503533529267	2.74361726288804	3.43218989507398	3.25308237116284	2.75367185453517	2.76957390489522	3.22592875190575	3.13374091589435	3.56218353657134	2.93398213656207	4.12727935541542	2.78510894812981	2.78675181112083	3.15804381256277	3.44886622150512	3.1386219965072	3.65450174738583	4.636185861518	2.89872417251515	3.88793195905352	2.137039681643	4.55978150318822	4.57571023878422	3.18664932425195	3.79720870222376	2.92137494036274	3.54997475100097	4.08807258772771	4.71158321400381	3.24707568606973	3.5652256695139	4.69750411107641	4.06568609722359	3.03263511673309	4.05427109889562	4.02608185922197	4.06562217793923	2.60011658183564	3.96951462404134	3.19100904570924	4.70583840558055	4.58941198852125	3.13167148002486	4.22386420395334	3.24960423871496	3.36184347865423	4.90481188213034	3.73394204241862	5.18240724196483	4.66648330399558	3.44946614780312	1.73949585796503	4.67847858785017	3.63635497387606	4.58887595334359	2.26539178545986	3.05237610422397	2.84561263430641
"M2"	4.39567580969303	2.6738420881069	3.3944546150001	3.12214233255414	3.34902731179161	3.38001770077312	4.60885215461261	4.03510855328773	3.26939388949991	3.52970600677567	3.10777916795198	3.25077977341571	5.54275628589168	5.28517483035322	3.98116798173355	3.07690632228477	2.7960557073912	4.86491039687888	3.4657062018295	3.57485495896855	3.49201321271768	4.04435204106947	4.91951992519594	2.99892713445778	4.56394452854043	4.44712830392403	3.09937961656267	5.40148121291432	4.47983681256318	5.04311134355407	5.16887828503745	4.37901261632081	5.39215274383129	4.27310062784659	5.21092449205587	4.00858525719882	4.89731931285647	4.64860278116806	3.71840287648919	4.44878247435717	5.06852233479043	4.1381587098181	6.39535261207409	3.22081332334794	5.9627009189131	2.92048414384194	6.34669512959698	5.1205856981301	5.55771915381912	5.81430739090289	5.05127118211904	5.17756803084499	6.05362739768916	3.2163874481299	6.38126627207266	4.78762940849089	2.95038994352985	2.7612087631431	5.7160870643517	5.38860952421229	3.37967971434245	5.17669369565141	5.84145744451565	3.48300793653325	4.68172035378649	5.13916159403433	4.24772811490617	5.2468828129574	5.30950806695375	5.60549698140054	3.6832698132199	3.703721796262	4.68561605402446	6.11166936783621	2.95911561509321	3.43947354882398	5.78203075676805	4.59922556659333	3.19975964174722	5.61332704005819	5.74700441253872	5.51782038849456	6.17285374509519	5.26684436149384	5.62479481395512	4.99211307139601	4.95256164695396	5.09122560079039	4.54442754146499	3.87370128465633	4.26634354602119	5.2167214307683	4.50438005251297	3.89925674155954	5.3095448931073	4.34376565919885	4.99420150812196	5.02084843549685	4.62863853846201	3.91286765723877	5.11631325702227	5.09176705646737	3.98562941482378	4.05791024681602	4.90993122778371	5.00965592664274	4.8420879973098	4.82677309038362	5.29935113758631	3.7769426734702	4.9907085712612	3.78796237913938	4.46833691174462	4.96357126220838	4.04457750330261	4.93417977620085	4.51039191155669	3.83616106237805	4.99001202042655	4.44904482956269	4.30405910682521	5.06964117046116	5.35347131586497	4.15895871643748	5.09224170800997	4.4327416738088	4.92061154156982	5.11693650715334	4.85734984606217
"M3"	3.0195808332818	3.85997219987542	2.67854306329119	2.58344526445369	2.8900565438976	2.70839036573341	3.35462250702114	3.514702165197	2.67597806204625	2.77606740027122	2.71828207633181	2.60590832854187	4.66980266929179	4.46885914496374	3.90582106522344	5.58850443783423	4.40530633708044	4.72443644926234	5.5410660017811	3.39354339100084	5.61874012332447	5.15758060703315	4.96810041236576	4.8002324467611	4.63466742912157	4.55170608265648	5.07938879771362	5.19111439056048	5.07987797913417	4.24036142355437	4.24525765311141	5.61133245217126	3.37592287139778	4.54433868014211	4.31354067399618	4.83389009993228	3.62198810205566	3.98147879892617	4.49217600397243	3.58369070471523	4.16340721623937	4.21847910079125	4.66313496252272	5.41541500763078	3.12027184803453	3.83817074962048	4.13450519182273	4.00230372073333	4.51704820333163	4.25846496269393	4.91438621863576	4.32211379626549	3.95529000380689	5.91303641634532	4.23885756095581	5.07139334870299	5.66665215201128	4.36080065966309	3.22377199270078	4.90821946168065	5.86186333154597	5.31827926353756	4.48626263945605	5.17688808747288	3.89505899464467	4.81497264733673	3.86221559468638	3.1057816368202	4.85431920615788	4.59486572053912	4.63486674104402	3.20432431363879	4.32229740310403	4.33738761302893	4.54697133421655	4.07004029857287	4.14379248968801	3.17349558497549	3.58741806242113	4.11124707581013	4.15874769351709	4.0247569457306	3.89304978255986	3.97219824444706	4.23809996064669	4.20113410211765	4.12553696063228	3.82418785114777	4.70789432516413	4.69125638094892	4.52230661592476	4.32383947342061	4.62939030656451	4.58802580672488	4.29966930108994	4.4962997692716	3.76136910478489	4.04778864826656	4.48660335133733	4.52774151386671	4.16671795927284	4.13252626873427	4.54011890425688	4.6009420736817	4.53678300388727	4.76452304672732	4.67270644810042	3.8586898859373	4.07469783253597	4.64065079957092	4.36299317219683	4.60629784109099	4.29833840117456	4.51714927946425	4.86259240265017	4.39711947370544	4.58761011664994	4.76413633305928	4.47689320772158	4.38979254491493	4.69865355005597	4.29776124371033	4.12603548685436	4.67566511568898	3.92208111211803	4.52215947567574	4.34938753176973	4.19489175869895	3.81197820149383
"M4"	3.69049193133367	5.7983875637552	3.72910589964788	3.77804918803573	3.74713557032307	3.2584620700601	3.56584106170892	3.817883721422	3.82226632224719	3.38041718180155	3.80082312757692	3.35260097001047	3.64702870191106	3.74463881545127	3.21358823496166	5.22600981197952	7.25695295177036	5.59814047937687	6.54508818544697	3.13451313865462	3.15339584025095	4.44371661777052	4.56678239811516	3.42071271618773	4.58163735942697	6.05331416053228	3.82398384042602	4.9648344321816	6.16620067692427	3.96652124978712	4.24285870307401	3.04623394481633	4.73308824019847	5.57972178734409	3.35351062389377	5.16552261674259	4.35908395407108	5.40462807711103	3.37272671055533	3.51144221039938	3.9321668877783	3.74160120156469	3.43294337314544	3.02412145302826	3.55919422095629	5.96814642757162	3.91497252930701	3.00402370305086	3.34309999138149	2.94962210844283	5.80438472732356	3.78310143811209	3.68879235216509	2.97140840587311	3.44547398267959	4.41718283879654	4.82562618338327	7.29622796669977	3.50765363614252	4.58099964352212	4.50518043498277	5.46602868675136	3.40782994238027	4.21965740316407	3.38510136513951	4.14398114683313	4.55019961876448	4.00336654333348	4.96586507260617	3.18206185502527	4.58381271768042	3.05744286018071	5.04345520119653	4.14684187977007	3.541354530069	2.91135146885188	3.64974564809562	3.42892174804012	3.00010069067473	4.0212614457464	3.19686288550311	4.07642161365379	3.15362784583582	3.11343248154534	3.88841023619078	4.14048916302332	4.41617716300495	3.71081137090358	4.82241638431084	4.32945261463068	4.03676989047629	3.56253956314609	4.82374387015924	4.32556858130113	3.72281459555563	4.18045938250273	4.22044494646139	3.96487267087779	4.85876769544885	4.36352925032852	4.21630068709582	3.71991541860764	4.84252328248053	4.76034137408864	3.63030832336272	4.12260399543888	4.42472095334226	4.10552883426755	3.88714163312676	4.1782695314916	4.18923465325874	4.8058602299474	4.1750863348133	3.85658458788566	4.05520791441767	4.2083131160988	4.25527531761683	4.83710457894296	4.03358176497013	4.92148341405004	4.68864475386519	4.19911705055423	4.12726964127557	4.87722990717321	4.13134082735349	4.84807021257843	3.87161978374067	4.1149613765991	4.22880565608918
"M5"	4.23981156297403	2.71708737769735	3.19409328908554	2.78335119270819	3.27273023560043	3.08845115416415	5.12179336528875	4.19922712699269	2.75616964534218	3.12579913650802	2.73230669252221	2.76184404814349	5.5299293163291	5.66562769591447	4.79917989346512	5.53154581702773	2.79794118026164	5.13125305257776	5.00450698797618	4.73653331948773	5.8325829656872	5.46104983201015	5.66013544981197	4.64053768458889	5.28421015748279	5.67983389785808	4.75959817639108	5.73694305338716	6.00133688595025	5.48414856741054	5.35410205088733	5.59953784576374	5.45436940170367	5.47407237950097	5.89468507979245	5.84758159867653	4.68198685390191	4.83356800142068	5.46329547685679	5.04731357505883	5.44349992225868	5.66577855909013	5.73642253487469	5.56058613068603	5.49747708571766	2.91276949323783	6.6693489109314	5.09302943781568	5.27606181315088	5.7953997852897	5.38766959134396	5.20903380684842	6.08500112508886	4.64877052021652	6.2705859364586	5.70300660364325	5.42095237156973	2.78023642502892	5.49740780776886	6.09136239982738	5.65881455468903	5.82320032416933	5.99434412609168	5.32955707933496	5.57138815913761	5.57998938572264	4.70392112889515	5.04434917011943	5.17184222271564	5.69539870272785	4.06876330829263	4.05240460620812	5.04740732130007	6.07318994773958	4.71411955455828	4.87371111608861	5.71421431266079	4.83911331082951	4.1624092724752	5.86018312331331	5.95497339475251	5.42461999136208	5.65540101174614	5.481487408077	5.80516928123316	5.32214869630185	4.89678668399435	5.17259586153233	4.89538244151399	4.48611136646949	4.98785649204105	5.1837461090038	4.86460105497789	4.7693061664218	5.32979296937328	5.29911466339815	4.99801680247472	5.22222523963665	5.0765829052891	4.84727225506147	5.13716834214496	5.46316477591475	5.10173491920271	4.68432038319936	5.5210233700827	5.22737004397054	5.29026441251482	4.87982149580478	5.36926944558287	4.51113280587165	5.15978152145722	4.7252932422613	5.14837763648118	5.08340018107081	4.89664331245183	5.04821654063325	5.31317066984126	4.82522868169731	5.42623480271724	4.90639375875249	5.28163033386565	5.16744893597499	5.32306634024191	4.8602573636343	5.3471730501436	5.03651031128618	4.96003468882224	5.22276110546205	4.89199781570104
"M6"	3.73202139042039	2.74708270013136	3.17478922634342	2.90430253518856	3.46070654503285	2.85025403278026	3.49006167200563	4.61753652051758	2.93494563752635	3.26143072753843	2.65406347388704	2.85210251731182	3.26981320990458	3.24503962206201	3.5589728219843	5.98237770919022	2.91256492365595	3.99584901066238	5.31264015633826	2.7630886883928	6.55757007260686	6.08017505526938	3.95928949150849	5.12714642186013	4.38646072283476	3.3370644952646	5.35327047094818	3.4390823838713	3.93146762940929	2.65570407180622	3.45098257359161	3.59244322714849	3.97635912649615	3.52754797682819	2.59211661248027	3.85700239620637	3.51072975309237	2.87127797907686	3.29417736649928	3.65882041469381	3.02658704516248	2.90839130752997	2.36852080398621	3.89787735315524	2.87575293903288	2.72212861531068	3.13704317999	2.93573612946	2.7702022707372	2.64923658875678	3.67579117683816	4.74575231290661	2.87630693555429	5.28113122590412	2.92438613596843	3.76402401023343	5.89777828702246	2.82826706835893	3.17931006628991	2.89416115214281	6.09300234820085	3.56901639687539	2.64357732836458	5.21350446433543	2.69512223696998	3.34368924415035	2.97857233430762	4.17134445570596	2.61148485192489	2.61446731481951	4.22506186085021	2.87838588018079	3.45476538569216	3.2683820771591	5.79941488448068	5.9260486305331	3.10363420263792	2.77266446635831	2.83584720588676	3.23067335440946	2.80883890048718	4.15757617278221	3.14296106930381	2.88724362444937	3.44980380738253	3.5730195614536	3.6033660314754	4.21932517375256	3.32002025992657	3.84975107536376	4.18189278882686	3.05535827359031	3.20159120310259	4.32618192390575	3.58809057147246	4.27134909097262	3.70075547531611	4.09280381640886	3.20601774703245	4.7278138776471	3.54641787680522	3.56487339488077	4.49533528646784	4.45136278665616	3.76983722668423	3.74524043484602	3.64636609531546	4.48105658859126	3.4584325159104	4.08147375628444	3.59741860933457	4.6616348934015	4.07505030666417	3.23737622435777	4.6539624050083	3.90314593648525	3.80003746702264	4.49731183718822	3.87278628900209	3.48980314377679	3.95105582167453	3.53118149310925	3.33384626098656	4.52941616382397	3.67299462208166	3.54074824699381	3.17653425899029	3.5328922172939	4.12936732224817
"M7"	5.88513058196866	3.93740772345664	6.062948830846	6.33578179557123	6.27527037208669	6.34931186758122	5.95383133944983	5.61396035303915	6.1689061593335	6.15218260641046	6.00166655914717	6.26598973900028	5.08952858434334	5.31078638046131	4.40826315294102	6.3665084095991	4.87145453386441	5.72590559397398	6.22052053131433	3.68494439249141	6.53176023574373	6.09445018049393	5.51855575131958	4.98216067184423	5.14510557065056	5.94043644041466	5.03023145984769	5.91560730754082	5.52594377574018	5.02123227276743	4.85305296544496	6.06045293024683	5.53221723534848	5.83280290982725	6.06264227320734	5.89707680260297	4.79993241659399	5.22138203210345	5.56362032792953	4.87054642921199	5.17944421798017	5.45098998009355	5.6826635659134	5.53292235016879	5.12798608355749	6.38873857068899	6.27647740190593	4.88652267509228	5.33001303231822	5.59136996769378	6.00484761463239	5.27052525066593	5.86930750094842	6.16820036918902	6.08772824286976	5.26954029745947	5.77151149623102	5.37474746608438	5.11730476635191	6.17914419268875	6.79814620901077	5.7925651554462	6.38682960952273	5.83033295688195	5.20399611828169	5.86983882915903	5.41915118095319	5.37491429924769	5.31300618707651	5.60581481622387	5.30620502508281	3.80076496425501	5.24163962260366	5.46651306165169	5.31463218000907	4.89245684237278	5.2976715331695	4.09470960630797	3.46425753982214	5.70511714784018	6.37690577953605	5.51927520237639	5.14758288693668	4.85944593700271	5.95477125462151	5.2871285368014	5.41942405757925	5.33669020305532	5.37977631220262	5.55196571179158	5.53823578733651	5.32749376614042	5.40935438848506	5.60137870665532	5.50437993571242	5.43964612025638	5.28588721124735	5.36774796422806	5.38098764632358	5.55509696462097	5.39418357589686	5.46410388020655	5.66476571506194	5.47895814562253	5.35273969583147	5.31930559933622	5.49145141390562	5.28169048829082	5.40328137260973	5.73436818081123	5.47491851402424	5.61931212582942	5.41164633954375	5.38003685360786	5.50424492613528	5.35001073854131	5.46424807300983	5.52752532166591	5.34930169787078	5.29162980875198	5.29713403066315	5.30457573414689	5.43261302264708	5.53331666744475	5.47726208218442	5.44997392494214	5.59323504709402	5.38674654777014	5.18293070728019
