"","group","ADH1C","ANGPTL1","COL10A1","COL11A1","COL6A6","F12","FGF2","GJB2","HPGDS","MME","NR4A1","RPS24","SOX9","WNT11"
"GSM728611","Normal",7.643,6.697,8.578,5.918,7.789,8.274,6.093,4.002,7.532,8.211,9.556,9.302,4.807,6.15
"GSM728612","Normal",5.978,4.983,6.518,5.291,8.946,8.227,4.551,3.644,6.588,6.17,7.9,6.594,6.111,6.418
"GSM728613","Normal",4.772,4.986,8.262,10.037,4.949,10.153,4.805,4.37,8.745,6.49,8.765,7.705,4.416,6.285
"GSM728614","Normal",6.563,8.492,6.835,6.663,5.698,5.714,8.504,4.638,7.328,10.314,7.15,4.879,3.974,7.8
"GSM728615","Normal",7.438,7.539,5.521,4.988,8.447,5.761,8.123,4.274,7.97,9.74,8.874,6.145,6.715,7.497
"GSM728616","Normal",7.761,8.409,7.42,7.835,6.043,6.053,8.56,5.09,6.473,9.673,6.525,6.747,4.655,7.195
"GSM728617","Normal",7.751,8.313,5.568,4.332,7.33,5.36,8.561,3.89,7.159,9.942,8.695,4.365,3.355,8.306
"GSM728618","Normal",7.265,7.442,5.711,6.814,5.537,5.658,8.281,4.309,8.119,9.787,10.029,4.424,4.248,7.591
"GSM728619","Normal",8.936,8.667,5.174,5.849,8.53,5.64,8.623,4.07,6.708,10.616,7.203,5.939,5.208,7.298
"GSM728620","Normal",7.042,7.985,5.202,5.207,8.546,5.21,8.092,3.932,5.936,10.861,8.742,5.872,4.985,8.222
"GSM728621","Normal",6.546,8.813,5.514,5.174,5.682,5.312,8.253,3.733,8.004,9.305,9.814,4.112,3.428,8.548
"GSM728622","Normal",7.725,7.985,5.85,6.007,8.57,5.84,7.723,3.785,7.647,9.718,6.597,5.661,5.755,7.56
"GSM728623","Tumor",4.279,8.08,9.51,12.68,5.948,6.11,6.402,8.383,9.584,8.249,10.15,6.255,5.752,6.968
"GSM728624","Tumor",3.78,4.956,10.118,11.748,4.516,6.697,6.419,9.001,6.899,10.391,6.891,8.1,7.502,6.123
"GSM728625","Tumor",5.273,5.523,10.024,10.332,6.267,6.787,6.215,7.904,7.358,7.215,7.42,7.362,6.682,6.466
"GSM728626","Tumor",3.608,4.365,10.9,12.39,3.902,9.606,4.448,6.674,6.199,6.153,6.889,8.316,7.4,5.496
"GSM728627","Tumor",3.891,4.719,9.863,12.15,3.998,8.651,4.313,5.927,6.751,4.775,7.302,6.415,7.165,9.364
"GSM728628","Tumor",5.212,5.769,10.916,10.054,6.083,6.883,5.219,6.623,6.48,6.695,7.534,9.049,4.809,5.26
