"PC-1"	"PC-2"	"Batch"	"Group"
"GSM388076"	-47.4778830781077	-58.9608953378483	"GSE71989"	"Normal"
"GSM388077"	-51.8850738357067	-57.61788392105	"GSE71989"	"Normal"
"GSM388079"	81.5585424813442	-9.33780134945582	"GSE71989"	"Normal"
"GSM388080"	78.5898434445704	-5.19148709521573	"GSE71989"	"Normal"
"GSM388082"	85.0984548085852	-10.2591369211606	"GSE71989"	"Normal"
"GSM388083"	-38.3027440504018	-60.6529036773201	"GSE71989"	"Normal"
"GSM388085"	-48.8951715004077	-26.4794336838197	"GSE71989"	"Normal"
"GSM388086"	-12.0352198425122	-2.07094937489627	"GSE71989"	"Normal"
"GSM388089"	3.00921143427165	-1.41901726844221	"GSE71989"	"Normal"
"GSM388090"	50.9393335763664	-5.64468966924688	"GSE71989"	"Normal"
"GSM388092"	62.3831559830915	1.85272207441737	"GSE71989"	"Normal"
"GSM388093"	56.1039493519694	-1.21521018662716	"GSE71989"	"Normal"
"GSM388094"	82.2753840325657	-7.82852275577735	"GSE71989"	"Normal"
"GSM388096"	-3.83705743249743	17.2487115470698	"GSE71989"	"Normal"
"GSM388097"	-48.8578021383375	-37.9915132533119	"GSE71989"	"Normal"
"GSM388099"	39.3647962622487	6.46614173007995	"GSE71989"	"Normal"
"GSM388100"	66.6636217142511	0.698257803698129	"GSE71989"	"Normal"
"GSM388102"	51.875278072846	5.18466560932784	"GSE71989"	"Normal"
"GSM388103"	68.0689832408415	-3.70753760185552	"GSE71989"	"Normal"
"GSM388105"	-16.5724805870327	12.0283959781873	"GSE71989"	"Normal"
"GSM388106"	21.9803278284753	14.8773074631198	"GSE71989"	"Normal"
"GSM388107"	-6.56314756888663	8.73388145151211	"GSE71989"	"Normal"
"GSM388109"	74.8013835547772	-3.7574776222275	"GSE71989"	"Normal"
"GSM388110"	83.815502612799	-9.3436085977956	"GSE71989"	"Normal"
"GSM388113"	69.8391272359651	-2.01559682300264	"GSE71989"	"Normal"
"GSM388114"	-38.3079019237152	-60.3930136539617	"GSE71989"	"Normal"
"GSM388115"	-54.5390394980864	-26.8738117975979	"GSE71989"	"Tumor"
"GSM388117"	-41.9578964715074	36.1335738269375	"GSE71989"	"Tumor"
"GSM388118"	-34.8400321681702	32.5126637976777	"GSE71989"	"Tumor"
"GSM388119"	-30.8484113269554	36.549166013219	"GSE71989"	"Tumor"
"GSM388120"	-27.5063336971549	35.051482982422	"GSE71989"	"Tumor"
"GSM388121"	-31.0570346881748	29.5934954906519	"GSE71989"	"Tumor"
"GSM388122"	-41.0781999824693	-11.3786565604659	"GSE71989"	"Tumor"
"GSM388124"	-46.6579700471744	-32.9068954546544	"GSE71989"	"Tumor"
"GSM388125"	-48.5095696048642	-20.2405720505209	"GSE71989"	"Tumor"
"GSM388126"	-33.9390764551858	15.2599446767937	"GSE71989"	"Tumor"
"GSM388127"	-7.66117044776545	17.686162922719	"GSE71989"	"Tumor"
"GSM388128"	-23.4233221240823	-25.7210784128425	"GSE71989"	"Tumor"
"GSM388130"	-41.6443583757535	-18.3134811178815	"GSE71989"	"Tumor"
"GSM388131"	-15.9271566685305	16.7430171416377	"GSE71989"	"Tumor"
"GSM388132"	-1.9389941899399	22.3798937303095	"GSE71989"	"Tumor"
"GSM388133"	-27.0374015898822	23.599756514778	"GSE71989"	"Tumor"
"GSM388134"	9.05505037465524	12.5408955320753	"GSE71989"	"Tumor"
"GSM388141"	-49.5695585853703	2.58452674239115	"GSE71989"	"Tumor"
"GSM388142"	-28.188331032407	35.3915386188536	"GSE71989"	"Tumor"
"GSM388145"	26.1342765269301	10.6533306563776	"GSE71989"	"Tumor"
"GSM388146"	-36.2401440005977	37.486145092436	"GSE71989"	"Tumor"
"GSM388147"	-19.4853502969898	25.5027460536882	"GSE71989"	"Tumor"
"GSM388148"	10.2161616248327	28.3712111950732	"GSE71989"	"Tumor"
"GSM388150"	-39.636642198149	29.0169252960417	"GSE71989"	"Tumor"
"GSM388151"	-42.2389894622241	-17.2383194886649	"GSE71989"	"Tumor"
"GSM388153"	12.7649345791713	5.76065055937546	"GSE71989"	"Tumor"
"GSM1126851"	20.6429335398974	-13.8605586854242	"GSE46234"	"Normal"
"GSM1126852"	6.32740947083956	1.17139750966707	"GSE46234"	"Normal"
"GSM1126854"	-21.8514215366668	9.10668843284964	"GSE46234"	"Tumor"
"GSM1126856"	-11.0960910090005	9.2123027828426	"GSE46234"	"Tumor"
"GSM1126857"	6.96361402531831	-12.0022671142348	"GSE46234"	"Normal"
"GSM1849335"	37.0859671352929	-3.62120891406261	"GSE15471"	"Normal"
"GSM1849336"	33.3683604647229	-1.92289856565715	"GSE15471"	"Normal"
"GSM1849337"	42.2572681327326	-4.42484591001074	"GSE15471"	"Normal"
"GSM1849339"	63.8396704565571	-12.5855847252387	"GSE15471"	"Normal"
"GSM1849340"	57.2291920280282	-8.89168748938017	"GSE15471"	"Normal"
"GSM1849341"	69.9905820447044	-15.8464505868096	"GSE15471"	"Normal"
"GSM1849342"	67.7880988934861	-11.9228700753728	"GSE15471"	"Normal"
"GSM1849343"	-44.3483418992447	23.3904285067568	"GSE15471"	"Tumor"
"GSM1849344"	-52.5642407095893	6.10519791748229	"GSE15471"	"Tumor"
"GSM1849345"	42.0339888057372	-1.14179620276224	"GSE15471"	"Tumor"
"GSM1849346"	-18.3145865538411	17.8407376295083	"GSE15471"	"Tumor"
"GSM1849347"	-48.8019966881761	-11.2138191222977	"GSE15471"	"Tumor"
"GSM1849349"	-55.5611896280549	18.088724153377	"GSE15471"	"Tumor"
"GSM1849350"	26.531231451223	2.29487872495355	"GSE15471"	"Tumor"
"GSM1849352"	-33.1118988112327	21.7935295648631	"GSE15471"	"Tumor"
"GSM1849353"	-39.7324840264616	31.9757427512024	"GSE15471"	"Tumor"
"GSM1849354"	-37.7533579313848	6.31084047353231	"GSE15471"	"Tumor"
"GSM1849355"	-50.8550433694704	-19.4310772474856	"GSE15471"	"Tumor"
"GSM1849356"	-57.9455181569346	-33.7731206335265	"GSE15471"	"Tumor"
