"PC-1"	"PC-2"	"Batch"	"Group"
"GSM388076"	-82.5013686741009	-47.7249732788596	"GSE71989"	"Normal"
"GSM388077"	-81.2966408884174	-48.333010712882	"GSE71989"	"Normal"
"GSM388079"	-65.561893120383	-0.584508996927889	"GSE71989"	"Normal"
"GSM388080"	-69.7627131084553	-2.74759482593108	"GSE71989"	"Normal"
"GSM388082"	-67.8016010071513	0.658925120606907	"GSE71989"	"Normal"
"GSM388083"	-75.7972026039829	-42.510028358736	"GSE71989"	"Normal"
"GSM388085"	-87.9327230707239	-51.1024082534742	"GSE71989"	"Normal"
"GSM388086"	-83.4841515050398	-40.4787087855147	"GSE71989"	"Normal"
"GSM388089"	-81.1200664632133	-33.5196859555248	"GSE71989"	"Normal"
"GSM388090"	-74.1463789137189	-17.4002331125332	"GSE71989"	"Normal"
"GSM388092"	-76.4651641873883	-12.3251155830759	"GSE71989"	"Normal"
"GSM388093"	-71.531872186783	-13.0233019953287	"GSE71989"	"Normal"
"GSM388094"	-71.4979931855262	2.50886922883621	"GSE71989"	"Normal"
"GSM388096"	-87.9715343058581	-40.6154777923946	"GSE71989"	"Normal"
"GSM388097"	-83.9442519723635	-49.3488630014099	"GSE71989"	"Normal"
"GSM388099"	-75.9302467739743	-21.2394482518789	"GSE71989"	"Normal"
"GSM388100"	-72.3536607205317	-7.23049912073185	"GSE71989"	"Normal"
"GSM388102"	-77.6425899351644	-15.5304561415136	"GSE71989"	"Normal"
"GSM388103"	-70.1121977516303	-8.08262788614878	"GSE71989"	"Normal"
"GSM388105"	-87.4103444892747	-43.8139317216698	"GSE71989"	"Normal"
"GSM388106"	-84.1720414810701	-28.8128937174104	"GSE71989"	"Normal"
"GSM388107"	-84.0108290870642	-35.4394320548225	"GSE71989"	"Normal"
"GSM388109"	-69.8734510404031	-3.26873200648261	"GSE71989"	"Normal"
"GSM388110"	-68.441509725735	2.38499411739219	"GSE71989"	"Normal"
"GSM388113"	-73.0541874818289	-4.19479872782262	"GSE71989"	"Normal"
"GSM388114"	-76.94782505936	-43.6749056678437	"GSE71989"	"Normal"
"GSM388115"	-87.0359583997514	-52.5151654800332	"GSE71989"	"Tumor"
"GSM388117"	-92.5169168347573	-52.6319686783804	"GSE71989"	"Tumor"
"GSM388118"	-89.2148763525702	-48.6724055107605	"GSE71989"	"Tumor"
"GSM388119"	-91.9773325693187	-48.011824502406	"GSE71989"	"Tumor"
"GSM388120"	-91.029138740679	-47.1113315563279	"GSE71989"	"Tumor"
"GSM388121"	-91.8705867316161	-46.1091030170752	"GSE71989"	"Tumor"
"GSM388122"	-85.7883703168321	-49.919943491197	"GSE71989"	"Tumor"
"GSM388124"	-85.0082420418318	-50.6699913338857	"GSE71989"	"Tumor"
"GSM388125"	-86.051536891901	-56.0043387365675	"GSE71989"	"Tumor"
"GSM388126"	-92.4260878682735	-48.3607015634456	"GSE71989"	"Tumor"
"GSM388127"	-85.9087928453328	-42.2510989645167	"GSE71989"	"Tumor"
"GSM388128"	-85.0084813361288	-40.7126413138308	"GSE71989"	"Tumor"
"GSM388130"	-87.2472293930383	-49.1128446568461	"GSE71989"	"Tumor"
"GSM388131"	-89.7154614364498	-43.4502986235552	"GSE71989"	"Tumor"
"GSM388132"	-86.806259048655	-38.5551958104376	"GSE71989"	"Tumor"
"GSM388133"	-88.3055224552612	-45.3477488188344	"GSE71989"	"Tumor"
"GSM388134"	-84.3463167515422	-35.4507656133022	"GSE71989"	"Tumor"
"GSM388141"	-90.9437874892419	-53.5454016714817	"GSE71989"	"Tumor"
"GSM388142"	-90.4104711651684	-44.3174877714285	"GSE71989"	"Tumor"
"GSM388145"	-82.3260618418162	-27.9339080647426	"GSE71989"	"Tumor"
"GSM388146"	-89.8043224015426	-49.1387075666041	"GSE71989"	"Tumor"
"GSM388147"	-91.0053146433913	-45.3733762964709	"GSE71989"	"Tumor"
"GSM388148"	-86.9101579929186	-32.8243610978874	"GSE71989"	"Tumor"
"GSM388150"	-89.2492463130314	-48.225931924154	"GSE71989"	"Tumor"
"GSM388151"	-86.3929754528055	-53.3053732561712	"GSE71989"	"Tumor"
"GSM388153"	-83.5854021142515	-32.453704421504	"GSE71989"	"Tumor"
"GSM1126851"	-520.942597482246	271.061020928451	"GSE46234"	"Normal"
"GSM1126852"	-501.480273378202	173.650743805151	"GSE46234"	"Normal"
