"","node1","node2","score"
"1","ACTA2","SNAI2",0.413
"2","ACTA2","DCN",0.537
"3","ACTA2","TIMP1",0.503
"4","ACTA2","COL8A1",0.4
"5","ACTA2","TWIST1",0.402
"6","ACTA2","COL14A1",0.404
"7","ACTA2","TCF4",0.408
"8","ACTA2","MGP",0.426
"9","ACTA2","COL4A2",0.442
"10","ACTA2","IGFBP7",0.445
"11","ACTA2","COL6A3",0.455
"12","ACTA2","LTBP2",0.456
"13","ACTA2","S100A4",0.481
"14","ACTA2","LUM",0.507
"15","ACTA2","LOX",0.533
"16","ACTA2","COL6A2",0.541
"17","ACTA2","MFAP5",0.552
"18","ACTA2","COL5A1",0.598
"19","ACTA2","COL4A1",0.603
"20","ACTA2","ASPN",0.624
"21","ACTA2","THY1",0.632
"22","ACTA2","FN1",0.689
"23","ACTA2","BGN",0.692
"24","ACTA2","FBN1",0.721
"25","ACTA2","CCN2",0.727
"26","ACTA2","PDGFRB",0.781
"27","ACTA2","COL1A2",0.814
"28","ACTA2","TPM2",0.824
"29","ACTA2","COL3A1",0.882
"30","ACTA2","COL1A1",0.928
"31","ACTA2","TAGLN",0.954
"32","ACTA2","MYL9",0.97
"33","ACVR1","ID3",0.402
"34","ADAM12","TIMP1",0.45
"35","ADAM12","COL1A1",0.446
"36","ADAM12","HBEGF",0.695
"37","ADAM12","CCN4",0.47
"38","ADAM12","ADAMTS2",0.453
"39","ADAM12","MMP7",0.405
"40","ADAM12","NOX4",0.474
"41","ADAM12","ADAM28",0.457
"42","ADAM12","TIMP3",0.504
"43","ADAM12","COL6A3",0.495
"44","ADAM12","COL1A2",0.428
"45","ADAM12","COL3A1",0.415
"46","ADAM12","MMP1",0.573
"47","ADAM12","FBN1",0.445
"48","ADAM12","COL10A1",0.578
"49","ADAM12","FN1",0.665
"50","ADAM12","MYOF",0.469
"51","ADAM12","SERPINH1",0.4
"52","ADAM12","COL5A1",0.515
"53","ADAM12","IGFBP3",0.671
"54","ADAM9","COL1A1",0.491
"55","ADAM9","HBEGF",0.518
"56","ADAM9","TIMP3",0.562
"57","ADAM9","CTSB",0.541
"58","ADAMTS2","DCN",0.449
"59","ADAMTS2","TIMP1",0.405
"60","ADAMTS2","COMP",0.436
"61","ADAMTS2","PCOLCE",0.539
"62","ADAMTS2","COL1A1",0.936
"63","ADAMTS2","LOX",0.75
"64","ADAMTS2","SPARC",0.418
"65","ADAMTS2","CCN4",0.477
"66","ADAMTS2","OLFML2B",0.457
"67","ADAMTS2","LUM",0.476
"68","ADAMTS2","COL4A1",0.481
"69","ADAMTS2","COL6A3",0.487
"70","ADAMTS2","COL4A2",0.488
"71","ADAMTS2","MFAP5",0.498
"72","ADAMTS2","COL14A1",0.527
"73","ADAMTS2","COL6A2",0.554
"74","ADAMTS2","LOXL1",0.568
"75","ADAMTS2","FN1",0.59
"76","ADAMTS2","COL8A1",0.595
"77","ADAMTS2","COL10A1",0.616
"78","ADAMTS2","SERPINH1",0.619
"79","ADAMTS2","TIMP3",0.638
"80","ADAMTS2","BGN",0.667
"81","ADAMTS2","FBN1",0.736
"82","ADAMTS2","COL5A1",0.826
"83","ADAMTS2","COL3A1",0.891
"84","ADAMTS2","COL1A2",0.946
"85","AEBP1","PCOLCE",0.5
"86","AEBP1","TAGLN",0.401
"87","AEBP1","ANTXR1",0.403
"88","AEBP1","PDGFRB",0.403
"89","AEBP1","EDNRA",0.423
"90","AEBP1","LUM",0.446
"91","AEBP1","MXRA8",0.45
"92","AEBP1","COL6A3",0.473
"93","AEBP1","COL3A1",0.53
"94","AEBP1","COL14A1",0.543
"95","AEBP1","COL1A1",0.562
"96","AEBP1","BGN",0.566
"97","AEBP1","COL6A2",0.572
"98","AEBP1","COL5A1",0.576
"99","AEBP1","COL1A2",0.578
"100","AEBP1","THBS2",0.595
"101","AHR","ARNTL2",0.711
"102","ALOX5AP","LOX",0.448
"103","ALOX5AP","TNFAIP6",0.409
"104","ALOX5AP","APOE",0.529
"105","ALOX5AP","TLR2",0.423
"106","ALOX5AP","F13A1",0.423
"107","ALOX5AP","NCF2",0.463
"108","ALOX5AP","MNDA",0.448
"109","ALOX5AP","EPHX2",0.61
"110","ALOX5AP","ITGAM",0.456
"111","ANOS1","STS",0.754
"112","ANOS1","FN1",0.489
"113","ANTXR1","COL1A1",0.438
"114","ANTXR1","HBEGF",0.463
"115","ANTXR1","LOX",0.49
"116","ANTXR1","DKK2",0.563
"117","ANTXR1","COL6A3",0.509
"118","ANTXR1","COL1A2",0.421
"119","ANTXR1","COL6A2",0.406
"120","ANTXR1","DKK1",0.431
"121","ANTXR1","FBN1",0.439
"122","ANTXR1","TAGLN",0.5
"123","ANTXR1","BGN",0.533
"124","ANTXR1","PLXDC1",0.545
"125","ANTXR1","DUSP5",0.571
"126","ANXA1","LGALS1",0.657
"127","ANXA1","TIMP1",0.451
"128","ANXA1","COL1A1",0.672
"129","ANXA1","PXDN",0.433
"130","ANXA1","LGALS3BP",0.476
"131","ANXA1","CAPG",0.4
"132","ANXA1","F13A1",0.555
"133","ANXA1","LUM",0.568
"134","ANXA1","S100A11",0.998
"135","ANXA1","COL1A2",0.564
"136","ANXA1","CXCL8",0.828
"137","ANXA1","CRIP1",0.428
"138","ANXA1","F3",0.557
"139","ANXA1","FN1",0.793
"140","ANXA1","MYOF",0.666
"141","ANXA1","MSN",0.417
"142","ANXA1","TGM2",0.632
"143","ANXA1","RGS1",0.557
"144","ANXA1","S100A4",0.844
"145","ANXA1","S100A6",0.877
"146","ANXA1","S100A10",0.977
"147","ANXA1","TGFBI",0.448
"148","ANXA1","RGS4",0.523
"149","APOC1","C3",0.431
"150","APOC1","APOE",0.999
"151","APOC1","COL1A2",0.417
"152","APOC1","COL3A1",0.419
"153","APOC1","APOD",0.854
"154","APOC1","FN1",0.485
"155","APOC1","COL5A1",0.407
"156","APOC1","TREM2",0.525
"157","APOC1","SERPINA1",0.758
"158","APOD","APOE",0.936
"159","APOD","MMP7",0.468
"160","APOD","CP",0.438
"161","APOD","SERPINA1",0.424
"162","APOD","C4BPA",0.527
"163","APOD","FN1",0.674
"164","APOE","TIMP1",0.476
"165","APOE","PLAT",0.639
"166","APOE","SERPINE1",0.601
"167","APOE","COL1A1",0.549
"168","APOE","MGP",0.454
"169","APOE","LOX",0.455
"170","APOE","SPARC",0.4
"171","APOE","TREM1",0.48
"172","APOE","C3",0.732
"173","APOE","FBN1",0.418
"174","APOE","FCGR3B",0.421
"175","APOE","SERPINF1",0.451
"176","APOE","COL4A2",0.455
"177","APOE","COL5A1",0.469
"178","APOE","CD14",0.485
"179","APOE","S100A6",0.501
"180","APOE","C4BPA",0.508
"181","APOE","MDK",0.509
"182","APOE","IL1RN",0.509
"183","APOE","CHI3L1",0.518
"184","APOE","LOXL1",0.522
"185","APOE","TAGLN",0.532
"186","APOE","F3",0.534
"187","APOE","CH25H",0.542
"188","APOE","LIPG",0.542
"189","APOE","TLR2",0.543
"190","APOE","THY1",0.545
"191","APOE","TIMP3",0.545
"192","APOE","IL18",0.549
"193","APOE","COL3A1",0.55
"194","APOE","EPHX2",0.556
"195","APOE","CFI",0.557
"196","APOE","PLAU",0.558
"197","APOE","NOX4",0.562
"198","APOE","THBS2",0.564
"199","APOE","SPON1",0.575
"200","APOE","PXDN",0.611
"201","APOE","PDGFRB",0.62
"202","APOE","TGFBI",0.631
"203","APOE","GPNMB",0.643
"204","APOE","CP",0.648
"205","APOE","OLR1",0.674
"206","APOE","CXCL8",0.683
"207","APOE","ITGAM",0.699
"208","APOE","CTSB",0.699
"209","APOE","CFB",0.7
"210","APOE","FN1",0.712
"211","APOE","MMP10",0.716
"212","APOE","BGN",0.723
"213","APOE","SERPINA1",0.781
"214","APOE","CFH",0.958
"215","APOE","TREM2",0.997
"216","ARL4C","CTSK",0.584
"217","ARL4C","RAP2B",0.405
"218","ARNTL2","SERPINE1",0.807
"219","ARNTL2","BHLHE40",0.699
"220","ARNTL2","SLC25A45",0.469
"221","ARPC1B","FCGR1A",0.411
"222","ASPN","DCN",0.476
"223","ASPN","COMP",0.573
"224","ASPN","LAMB1",0.416
"225","ASPN","COL1A1",0.719
"226","ASPN","LOX",0.404
"227","ASPN","TNFAIP6",0.493
"228","ASPN","COL8A1",0.418
"229","ASPN","PDGFRB",0.498
"230","ASPN","LOXL1",0.401
"231","ASPN","VCAN",0.648
"232","ASPN","LUM",0.664
"233","ASPN","CTSK",0.435
"234","ASPN","FRZB",0.902
"235","ASPN","COL6A3",0.457
"236","ASPN","COL1A2",0.714
"237","ASPN","COL14A1",0.674
"238","ASPN","COL6A2",0.643
"239","ASPN","COL3A1",0.815
"240","ASPN","FBN1",0.68
"241","ASPN","COL10A1",0.621
"242","ASPN","THBS4",0.46
"243","ASPN","PRELP",0.656
"244","ASPN","FN1",0.42
"245","ASPN","MFAP5",0.547
"246","ASPN","THBS2",0.742
"247","ASPN","CCN2",0.499
"248","ASPN","COL5A1",0.588
"249","ASPN","COL15A1",0.535
"250","ASPN","SFRP4",0.598
