"","nodes"
"1","ACTA2"
"2","ACVR1"
"3","ADAM12"
"4","ADAM9"
"5","ADAMTS2"
"6","AEBP1"
"7","AHR"
"8","ALOX5AP"
"9","ANOS1"
"10","ANTXR1"
"11","ANXA1"
"12","APOC1"
"13","APOD"
"14","APOE"
"15","ARL4C"
"16","ARNTL2"
"17","ARPC1B"
"18","ASPN"
"19","ATP4A"
"20","BGN"
"21","BHLHE40"
"22","BNC2"
"23","BST2"
"24","C1R"
"25","C1S"
"26","C3"
"27","C3AR1"
"28","C4BPA"
"29","C5AR1"
"30","CAPG"
"31","CCDC102B"
"32","CCL20"
"33","CCN2"
"34","CCN4"
"35","CD14"
"36","CDH11"
"37","CFB"
"38","CFH"
"39","CFI"
"40","CH25H"
"41","CHI3L1"
"42","CHSY1"
"43","CLEC4A"
"44","CLEC5A"
"45","COL10A1"
"46","COL14A1"
"47","COL15A1"
"48","COL16A1"
"49","COL1A1"
"50","COL1A2"
"51","COL3A1"
"52","COL4A1"
"53","COL4A2"
"54","COL4A5"
"55","COL5A1"
"56","COL6A2"
"57","COL6A3"
"58","COL8A1"
"59","COMP"
"60","CP"
"61","CRIP1"
"62","CSGALNACT2"
"63","CSTA"
"64","CTH"
"65","CTSB"
"66","CTSK"
"67","CXCL14"
"68","CXCL3"
"69","CXCL6"
"70","CXCL8"
"71","DACT1"
"72","DCN"
"73","DKK1"
"74","DKK2"
"75","DKK3"
"76","DPYSL3"
"77","DUSP5"
"78","EDNRA"
"79","EFEMP1"
"80","EFS"
"81","EGR2"
"82","EGR3"
"83","EMILIN1"
"84","EMP3"
"85","ENTPD1"
"86","EPHA3"
"87","EPHX2"
"88","F13A1"
"89","F3"
"90","FAP"
"91","FAS"
"92","FBN1"
"93","FCGR1A"
"94","FCGR1B"
"95","FCGR2B"
"96","FCGR3B"
"97","FHL2"
"98","FN1"
"99","FOXF1"
"100","FRZB"
"101","FSTL1"
"102","FXYD5"
"103","FZD7"
"104","GFPT2"
"105","GJA1"
"106","GPNMB"
"107","GREM1"
"108","GSDME"
"109","HBEGF"
"110","HGF"
"111","HK1"
"112","HOXB2"
"113","HSD11B1"
"114","HTRA1"
"115","ID3"
"116","IFI16"
"117","IFI44"
"118","IFI44L"
"119","IFI6"
"120","IFIT1"
"121","IFITM1"
"122","IGFBP3"
"123","IGFBP4"
"124","IGFBP7"
"125","IL18"
"126","IL1R2"
"127","IL1RN"
"128","ISG15"
"129","ISLR"
"130","ITGAM"
"131","JUNB"
"132","KLF7"
"133","LAMA2"
"134","LAMA4"
"135","LAMB1"
"136","LGALS1"
"137","LGALS3BP"
"138","LIF"
"139","LIPG"
"140","LOX"
"141","LOXL1"
"142","LTBP2"
"143","LUM"
"144","LY6E"
"145","MAP1B"
"146","MDK"
"147","MEOX1"
"148","MFAP2"
"149","MFAP5"
"150","MGP"
"151","MMP1"
"152","MMP10"
"153","MMP7"
"154","MNDA"
"155","MSN"
"156","MXRA5"
"157","MXRA8"
"158","MYL9"
"159","MYOF"
"160","NCF2"
"161","NID2"
"162","NNMT"
"163","NOX4"
"164","NREP"
"165","NUAK1"
"166","OAS3"
"167","OGN"
"168","OLFML1"
"169","OLFML2B"
"170","OLFML3"
"171","OLR1"
"172","OMD"
"173","PCOLCE"
"174","PDGFRB"
"175","PDK4"
"176","PDLIM3"
"177","PFKFB3"
"178","PFKP"
"179","PI3"
"180","PLAT"
"181","PLAU"
"182","PLAUR"
"183","PLXDC2"
"184","PRELP"
"185","PROS1"
"186","PRRX1"
"187","PTPN12"
"188","PXDN"
"189","RASAL2"
"190","RGS1"
"191","RNF186"
"192","S100A10"
"193","S100A11"
"194","S100A2"
"195","S100A4"
"196","S100A6"
"197","SERPINA1"
"198","SERPINB2"
"199","SERPINE1"
"200","SERPINE2"
"201","SERPINF1"
"202","SERPING1"
"203","SERPINH1"
"204","SFRP4"
"205","SNAI2"
"206","SPARC"
"207","SPOCK1"
"208","SULF1"
"209","TAGLN"
"210","TCF4"
"211","TGFBI"
"212","THBS2"
"213","THY1"
"214","TIMP1"
"215","TLR2"
"216","TNFAIP6"
"217","TNFRSF11B"
"218","TNFSF11"
"219","TPSAB1"
"220","TREM1"
"221","TREM2"
"222","TWIST1"
"223","TPM2"
"224","ADAM28"
"225","TIMP3"
"226","STS"
"227","PLXDC1"
"228","TGM2"
"229","RGS4"
"230","SPON1"
"231","RAP2B"
"232","SLC25A45"
"233","VCAN"
"234","THBS4"
"235","CCKBR"
"236","TLR7"
"237","XAF1"
"238","VSIG4"
"239","RBMS1"
"240","WNT2"
"241","PTGIS"
"242","ZCCHC24"
"243","TGFB1I1"
"244","MOXD1"
"245","STEAP1"
"246","QPCT"
"247","SRPX2"
"248","PDLIM4"
"249","ROBO1"
"250","PHLDA1"
"251","HOMER1"
"252","PDE1A"
"253","FMO1"
"254","PLPPR4"
"255","TNFRSF21"
"256","PCSK5"
"257","SLC16A4"
"258","NBL1"
"259","SPATS2L"
"260","STC2"
"261","MEOX2"
"262","RND3"
"263","PLCB4"
"264","TDO2"
"265","SLC20A1"
"266","TPSB2"
