#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AADAC	MGLL	9606.ENSP00000232892	9606.ENSP00000265052	0.068	0	0	0	0.042	0	0	0.435	0.452
AADAC	PLIN1	9606.ENSP00000232892	9606.ENSP00000300055	0	0	0	0	0.073	0.071	0	0.423	0.460
AADAC	RGN	9606.ENSP00000232892	9606.ENSP00000380365	0.060	0	0	0	0.569	0	0	0.138	0.621
ABCA6	APOD	9606.ENSP00000284425	9606.ENSP00000345179	0	0	0	0	0.127	0	0	0.415	0.468
ABCA6	ABCC3	9606.ENSP00000284425	9606.ENSP00000285238	0	0	0	0	0.057	0.100	0	0.444	0.487
ABCA6	FOXO1	9606.ENSP00000284425	9606.ENSP00000368880	0	0	0	0	0.076	0.054	0.750	0.149	0.789
ABCC3	SLC22A3	9606.ENSP00000285238	9606.ENSP00000275300	0	0	0	0	0.076	0.070	0	0.448	0.484
ABCC3	ABCA6	9606.ENSP00000285238	9606.ENSP00000284425	0	0	0	0	0.057	0.100	0	0.444	0.487
ABCC3	EPHX1	9606.ENSP00000285238	9606.ENSP00000480004	0.042	0	0	0	0.127	0.045	0	0.354	0.415
ABCC3	NQO1	9606.ENSP00000285238	9606.ENSP00000319788	0	0	0	0	0.089	0	0	0.391	0.421
ABCC3	KCNJ8	9606.ENSP00000285238	9606.ENSP00000499300	0	0	0	0	0.052	0.287	0	0.351	0.523
ABCC3	MARCKSL1	9606.ENSP00000285238	9606.ENSP00000362638	0	0	0	0	0	0	0	0.542	0.542
ACACB	DGAT2	9606.ENSP00000341044	9606.ENSP00000228027	0	0	0	0	0.062	0	0	0.571	0.581
ACACB	EHHADH	9606.ENSP00000341044	9606.ENSP00000231887	0.045	0	0	0	0.049	0	0.278	0.681	0.762
ACACB	ACADL	9606.ENSP00000341044	9606.ENSP00000233710	0.043	0	0	0	0.074	0	0.265	0.490	0.623
ACACB	LIPE	9606.ENSP00000341044	9606.ENSP00000244289	0.042	0	0	0	0.131	0	0	0.513	0.559
ACACB	FABP4	9606.ENSP00000341044	9606.ENSP00000256104	0	0	0	0	0.119	0	0	0.438	0.483
ACACB	GPAT3	9606.ENSP00000341044	9606.ENSP00000264409	0	0	0	0	0	0	0	0.411	0.411
ACACB	GPAM	9606.ENSP00000341044	9606.ENSP00000265276	0	0	0	0	0.250	0	0	0.531	0.634
ACACB	PECR	9606.ENSP00000341044	9606.ENSP00000265322	0.045	0	0	0	0.121	0.052	0.174	0.375	0.515
ACACB	THRSP	9606.ENSP00000341044	9606.ENSP00000281030	0	0	0	0	0.143	0.139	0	0.589	0.670
ACACB	PPARG	9606.ENSP00000341044	9606.ENSP00000287820	0	0	0	0	0.064	0	0	0.490	0.503
ACACB	PLIN1	9606.ENSP00000341044	9606.ENSP00000300055	0	0	0	0	0.196	0	0	0.377	0.478
ACACB	LEP	9606.ENSP00000341044	9606.ENSP00000312652	0	0	0	0	0.183	0	0	0.573	0.636
ACACB	PCK1	9606.ENSP00000341044	9606.ENSP00000319814	0	0	0	0	0.097	0	0	0.456	0.487
ACACB	ALDOC	9606.ENSP00000341044	9606.ENSP00000378731	0	0	0	0	0.054	0	0	0.404	0.412
ACACB	LPL	9606.ENSP00000341044	9606.ENSP00000497642	0	0	0	0	0.083	0	0	0.402	0.428
ACACB	ECHDC1	9606.ENSP00000341044	9606.ENSP00000436585	0.045	0	0	0	0	0	0.278	0.238	0.429
ACACB	ACSS3	9606.ENSP00000341044	9606.ENSP00000449535	0.055	0	0	0	0.123	0.069	0	0.355	0.435
ACACB	ADIPOQ	9606.ENSP00000341044	9606.ENSP00000389814	0	0	0	0	0.131	0	0	0.392	0.449
